Cell,ja,fb,mr,ar,my,jn,jl,ag,sp,ot,nv,dc
1,38.04908841,38.40847461,38.4974704,38.25191463,37.72927782,37.17567571,36.94651447,36.74322526,36.79241691,37.13331077,37.47453991,37.76106293
2,34.44455194,34.66486878,34.55322768,34.10205911,33.4455267,32.85361975,32.59788858,32.34729924,32.40660447,32.94888915,33.41308279,33.98777297
3,31.02273945,31.01363111,30.88959897,30.46557898,29.80865942,29.32684993,28.89218399,28.50739503,28.45880281,28.71946137,29.24861046,30.28134195
4,29.071614,29.5324827,29.61811548,29.31267893,28.50818712,27.77694244,26.87423475,26.23827554,25.91429543,25.83163124,26.4064724,27.73504224
5,38.22119519,38.52742919,38.60404304,38.42133059,37.86989729,37.23644334,36.87895063,36.61972537,36.76984875,37.12760549,37.46064411,37.87207053
6,34.95889749,35.10136852,35.00178841,34.60250367,34.00057958,33.51937988,33.27044737,33.08902631,33.23685666,33.5423882,33.88197496,34.45592287
7,32.48750776,32.80426803,32.87964299,32.54342157,31.84878951,31.30380259,30.87003654,30.52421458,30.47701282,30.50975999,30.80858508,31.58789532
8,30.9029858,31.33746641,31.46000727,31.05302978,30.31532032,29.87310229,29.57578082,29.29772701,29.11255494,28.85115271,29.01301285,29.84106479
9,38.37709091,38.63102881,38.75725422,38.62507626,38.12011829,37.54521356,37.21113348,36.99064822,37.17936421,37.52959621,37.80447002,38.11250915
10,36.232857,36.46002474,36.52089621,36.29105209,35.83214726,35.41159778,35.17916712,35.00229136,35.13020626,35.40007778,35.63349662,35.93261298
11,34.62899808,34.85419407,34.9329733,34.66218081,34.12894692,33.77877301,33.62394133,33.47774231,33.54631559,33.69884655,33.93407384,34.25061705
12,34.16679366,34.38208389,34.51067386,34.28331323,33.82092408,33.60274722,33.61179874,33.60326585,33.55964363,33.52671463,33.62668267,33.82247194
