Cell,ja,fb,mr,ar,my,jn,jl,ag,sp,ot,nv,dc
1,16.69446,15.96928,15.67467,16.28566,18.95221,24.03595,28.79006767,30.59038925,28.20497704,25.07110596,21.70273781,18.5627861
2,13.52504,12.20598,11.42650,12.06060,14.92666,19.72694,24.95944977,28.07872391,26.13141251,22.34379387,18.72423363,15.65486813
3,11.40485,9.53737,8.53401,9.11727,12.10508,17.21716,22.18959236,25.55867386,24.18038368,19.87346458,16.22037506,13.53289413
4,9.85861,8.41774,7.47036,7.73194,10.39034,15.63772,20.78309822,23.92644501,22.41040039,17.62309647,13.98218727,11.56733227
5,17.65044,17.04619,16.80905,17.25332,19.25554,23.52535,27.76015854,29.67422867,27.50596619,24.54827499,21.60254669,19.1528511
6,14.32023,13.09609,12.36782,12.81660,15.23939,19.49620,23.74003792,26.84542847,25.28136444,21.92608452,18.73291779,16.15109634
7,12.17821,10.80726,10.02696,10.40679,12.77316,17.12009,20.95580482,23.67547607,22.83724403,19.31799698,16.12481499,13.88478088
8,9.83029,8.60978,7.88073,8.29981,10.90874,15.39115,18.84744835,20.92449379,20.31090736,16.47800636,13.3499918,11.35206985
9,17.83809,17.24268,17.11077,17.45438,19.12764,22.78032,26.65377808,28.8200531,27.11699295,24.31388664,21.51668739,19.265625
10,14.84656,13.96842,13.50371,13.75725,15.61794,19.07412,22.50868416,25.52864838,24.80701828,21.78259468,18.74299622,16.40287971
11,12.56797,11.51148,10.94290,11.20943,13.25026,17.07504,20.57950592,23.08187294,22.77107048,19.45340919,16.32421875,14.11832237
12,10.42813,9.46186,9.04144,9.49706,12.12222,17.01226,20.84198761,22.45181084,21.21652985,16.85659409,13.72296333,11.83102036
