Specimen,ID,d13C ,d13C_SD,d18Occ ,d18O_SD,Final_D47,D47_SD,Modelled age,Modelled age_align,Modelled age_align,Modelled age_align1
R. diluvianum,002,0.805,0.011056171,-1.479,0.011056171,0.71,0.171543583,0.169863014,0.586529681,0.586529681,0.503196347
R. diluvianum,2,3.31,0.010757909,-1.289,0.010757909,0.692,0.137839489,0.169863014,0.586529681,0.586529681,0.503196347
R. diluvianum,3,3.399,0.011123146,-0.909,0.011123146,0.722,0.167284166,0.997260274,0.413926941,0.413926941,0.330593607
R. diluvianum,3,3.397,0.011123146,-0.947,0.048482423,0.641,0.044,0.997260274,0.413926941,0.413926941,0.330593607
R. diluvianum,4,3.274,0.010296425,-1.298,0.010296425,0.717,0.134447517,0.904109589,0.320776256,0.320776256,0.237442922
R. diluvianum,4,3.248,0.010071804,-1.324,0.010071804,0.693,0.155916758,0.904109589,0.320776256,0.320776256,0.237442922
R. diluvianum,5,3.346,0.010406446,-1.582,0.048482423,0.664,0.044,0.805479452,0.222146119,0.222146119,0.138812785
R. diluvianum,5,3.085,0.009744446,-1.406,0.009744446,0.656,0.137063699,0.805479452,0.222146119,0.222146119,0.138812785
R. diluvianum,5,3.345,0.011068446,-1.536,0.011068446,0.707,0.162270394,0.805479452,0.222146119,0.222146119,0.138812785
R. diluvianum,006,0.544,0.013777553,-2.252,0.013777553,0.704,0.130565081,0.684931507,0.101598174,0.101598174,0.01826484
R. diluvianum,6,3.673,0.012593238,-0.824,0.012593238,0.703,0.125332157,0.684931507,0.101598174,0.101598174,0.01826484
R. diluvianum,6,3.597,0.01327405,-0.817,0.01327405,0.644,0.102040247,0.684931507,0.101598174,0.101598174,0.01826484
R. diluvianum,6,3.615,0.012456144,-0.822,0.012456144,0.684,0.120460277,0.684931507,0.101598174,0.101598174,0.01826484
R. diluvianum,007,2.619,0.011718887,-1.788,0.011718887,0.67,0.146169208,0.419178082,0.835844749,0.835844749,0.752511415
R. diluvianum,7,3.584,0.009749246,-0.908,0.009749246,0.682,0.097223373,0.419178082,0.835844749,0.835844749,0.752511415
R. diluvianum,7,3.53,0.010493104,-0.962,0.010493104,0.666,0.132581393,0.419178082,0.835844749,0.835844749,0.752511415
R. diluvianum,7,3.564,0.008965112,-0.937,0.008965112,0.731,0.185878199,0.419178082,0.835844749,0.835844749,0.752511415
R. diluvianum,8,3.442,0.015318756,-1.547,0.015318756,0.671,0.135114944,0,0.416666667,0.416666667,0.333333333
R. diluvianum,8,3.39,0.01150407,-1.749,0.01150407,0.707,0.118859126,0,0.416666667,0.416666667,0.333333333
R. diluvianum,8,3.366,0.009316901,-1.689,0.009316901,0.701,0.142211924,0,0.416666667,0.416666667,0.333333333
R. diluvianum,9,3.282,0.013113601,-1.617,0.013113601,0.683,0.145974205,0.906849315,0.323515982,0.323515982,0.240182648
R. diluvianum,9,3.318,0.013145005,-0.724,0.013145005,0.7,0.120100119,0.906849315,0.323515982,0.323515982,0.240182648
R. diluvianum,10,3.248,0.009911846,-1.605,0.009911846,0.676,0.153976043,0.808219178,0.224885845,0.224885845,0.141552511
R. diluvianum,011,1.784,0.007867506,-1.927,0.007867506,0.669,0.127786842,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,11,3.492,0.010005697,-0.81,0.010005697,0.693,0.093106564,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,11,3.466,0.00787041,-0.862,0.00787041,0.621,0.093787183,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,12,3.745,0.008864599,-0.72,0.008864599,0.737,0.112733188,0.684931507,0.101598174,0.101598174,0.01826484
R. diluvianum,013,2.325,0.015359829,-1.852,0.048482423,0.658,0.044,0.61369863,0.030365297,0.030365297,0.947031963
R. diluvianum,13,4.048,0.015359829,-0.718,0.015359829,0.638,0.100267923,0.61369863,0.030365297,0.030365297,0.947031963
R. diluvianum,13,4.006,0.011349141,-0.766,0.011349141,0.756,0.14990895,0.61369863,0.030365297,0.030365297,0.947031963
R. diluvianum,14,3.901,0.010722797,-1.034,0.010722797,0.756,0.164275371,0.490410959,0.907077626,0.907077626,0.823744292
R. diluvianum,14,3.857,0.009671611,-1.037,0.009671611,0.674,0.122753744,0.490410959,0.907077626,0.907077626,0.823744292
R. diluvianum,15,3.581,0.01127737,-1.369,0.01127737,0.641,0.172335716,0.369863014,0.786529681,0.786529681,0.703196347
R. diluvianum,15,3.495,0.010681527,-1.411,0.010681527,0.695,0.146011612,0.369863014,0.786529681,0.786529681,0.703196347
R. diluvianum,016,2.547,0.01612229,-1.586,0.048482423,0.629,0.044,0.260273973,0.67694064,0.67694064,0.593607306
R. diluvianum,16,3.521,0.01612229,-1.609,0.01612229,0.63,0.128769111,0.260273973,0.67694064,0.67694064,0.593607306
R. diluvianum,17,3.489,0.011493479,-1.772,0.0127616,0.599,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,17,3.551,0.011493479,-1.802,0.0127616,0.594,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,18,3.505,0.010631968,-1.806,0.010631968,0.68,0.098731005,0.071232877,0.487899544,0.487899544,0.40456621
R. diluvianum,18,3.518,0.012003061,-1.719,0.012003061,0.697,0.149080425,0.071232877,0.487899544,0.487899544,0.40456621
R. diluvianum,19,3.682,0.01003838,-1.623,0.01003838,0.676,0.128837516,0.98630137,0.402968037,0.402968037,0.319634703
R. diluvianum,19,3.708,0.007857525,-1.559,0.007857525,0.618,0.12551329,0.98630137,0.402968037,0.402968037,0.319634703
R. diluvianum,21,3.459,0.009862811,-0.856,0.009862811,0.686,0.108235013,0.832876712,0.249543379,0.249543379,0.166210045
R. diluvianum,21,3.507,0.01526898,-0.858,0.01526898,0.703,0.116162357,0.832876712,0.249543379,0.249543379,0.166210045
R. diluvianum,22,3.538,0.011818589,-0.769,0.011818589,0.633,0.102037791,0.75890411,0.175570777,0.175570777,0.092237443
R. diluvianum,22,3.596,0.010728838,-0.768,0.010728838,0.681,0.103468884,0.75890411,0.175570777,0.175570777,0.092237443
R. diluvianum,23,3.338,0.013735364,-0.929,0.013735364,0.777,0.103173269,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,23,3.386,0.013893408,-0.917,0.013893408,0.623,0.109823302,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,24,3.393,0.010231778,-0.859,0.010231778,0.674,0.091544864,0.64109589,0.057762557,0.057762557,0.974429223
R. diluvianum,24,3.418,0.010311141,-0.884,0.010311141,0.795,0.103209896,0.64109589,0.057762557,0.057762557,0.974429223
R. diluvianum,25,3.321,0.013659935,-0.882,0.013659935,0.676,0.09174053,0.594520548,0.011187215,0.011187215,0.927853881
R. diluvianum,25,3.159,0.011463191,-0.993,0.011463191,0.674,0.109534879,0.594520548,0.011187215,0.011187215,0.927853881
R. diluvianum,26,3.289,0.013983616,-0.845,0.013983616,0.708,0.119115644,0.547945205,0.964611872,0.964611872,0.881278538
R. diluvianum,26,3.313,0.01367999,-0.937,0.01367999,0.708,0.098176632,0.547945205,0.964611872,0.964611872,0.881278538
R. diluvianum,27,2.949,0.012824572,-1.202,0.012824572,0.698,0.102519401,0.501369863,0.91803653,0.91803653,0.834703196
R. diluvianum,27,2.983,0.014760758,-1.072,0.014760758,0.608,0.138407347,0.501369863,0.91803653,0.91803653,0.834703196
R. diluvianum,28,2.946,0.010518266,-1.119,0.010518266,0.66,0.101229704,0.449315068,0.865981735,0.865981735,0.782648401
R. diluvianum,28,3.003,0.014805397,-1.078,0.014805397,0.722,0.098733796,0.449315068,0.865981735,0.865981735,0.782648401
R. diluvianum,29,2.823,0.008691503,-1.313,0.008691503,0.723,0.097363182,0.389041096,0.805707763,0.805707763,0.722374429
R. diluvianum,29,2.828,0.010200064,-1.362,0.010200064,0.619,0.083587054,0.389041096,0.805707763,0.805707763,0.722374429
R. diluvianum,32,2.959,0.011693444,-1.619,0.011693444,0.669,0.137976161,0.032876712,0.449543379,0.449543379,0.366210045
R. diluvianum,32,2.951,0.011693444,-1.498,0.0127616,0.649,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,33,3.086,0.011493479,-1.202,0.0127616,0.635,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,33,3.122,0.011493479,-1.269,0.0127616,0.789,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,33,3.1,0.011493479,-1.316,0.0127616,0.684,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,34,3.228,0.011493479,-1.451,0.0127616,0.678,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,34,3.212,0.011493479,-1.295,0.0127616,0.683,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,34,3.31,0.011493479,-1.481,0.0127616,0.666,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,35,3.358,0.011493479,-0.808,0.0127616,0.649,0.122391862,0,0.416666667,0.416666667,0.333333333
R. diluvianum,36,3.433,0.00903984,-1.005,0.00903984,0.673,0.10878562,0.736986301,0.153652968,0.153652968,0.070319634
R. diluvianum,36,3.398,0.01260716,-1.024,0.01260716,0.694,0.106909499,0.736986301,0.153652968,0.153652968,0.070319634
R. diluvianum,37,3.52,0.012155551,-0.878,0.012155551,0.689,0.135048072,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,37,3.477,0.010051234,-0.909,0.010051234,0.679,0.145833207,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,38,3.587,0.008644343,-0.945,0.008644343,0.715,0.150195507,0.62739726,0.044063927,0.044063927,0.960730593
R. diluvianum,38,3.592,0.011146466,-0.963,0.011146466,0.665,0.14701763,0.62739726,0.044063927,0.044063927,0.960730593
R. diluvianum,39,3.424,0.01219247,-1.108,0.01219247,0.635,0.123056997,0.564383562,0.981050229,0.981050229,0.897716895
R. diluvianum,39,3.487,0.012255892,-1.047,0.012255892,0.719,0.140984534,0.564383562,0.981050229,0.981050229,0.897716895
R. diluvianum,39,3.525,0.00937808,-1.114,0.00937808,0.7,0.113394716,0.564383562,0.981050229,0.981050229,0.897716895
R. diluvianum,40,3.572,0.010426356,-1.414,0.010426356,0.695,0.12098114,0.495890411,0.912557078,0.912557078,0.829223744
R. diluvianum,40,3.562,0.012941851,-1.348,0.012941851,0.698,0.125651882,0.495890411,0.912557078,0.912557078,0.829223744
R. diluvianum,40,3.594,0.00916527,-1.435,0.00916527,0.726,0.147690872,0.495890411,0.912557078,0.912557078,0.829223744
R. diluvianum,41,3.72,0.010298411,-1.402,0.010298411,0.723,0.122436907,0.416438356,0.833105023,0.833105023,0.749771689
R. diluvianum,41,3.694,0.012567724,-1.419,0.012567724,0.641,0.151248728,0.416438356,0.833105023,0.833105023,0.749771689
R. diluvianum,42,3.7,0.012243604,-1.607,0.012243604,0.59,0.149916545,0.326027397,0.742694064,0.742694064,0.65936073
R. diluvianum,42,3.684,0.010490592,-1.544,0.010490592,0.656,0.165345989,0.326027397,0.742694064,0.742694064,0.65936073
R. diluvianum,43,3.681,0.012947062,-1.478,0.012947062,0.672,0.149384038,0.208219178,0.624885845,0.624885845,0.541552511
R. diluvianum,43,3.717,0.01170796,-1.508,0.01170796,0.669,0.133797915,0.208219178,0.624885845,0.624885845,0.541552511
R. diluvianum,43,3.751,0.01117218,-1.619,0.01117218,0.729,0.126365062,0.208219178,0.624885845,0.624885845,0.541552511
R. diluvianum,44,3.618,0.009058035,-1.228,0.009058035,0.678,0.117895107,0.046575342,0.463242009,0.463242009,0.379908675
R. diluvianum,44,3.604,0.016006919,-1.325,0.016006919,0.685,0.133327297,0.046575342,0.463242009,0.463242009,0.379908675
R. diluvianum,45,3.832,0.010271201,-0.861,0.010271201,0.69,0.117538938,0.904109589,0.320776256,0.320776256,0.237442922
R. diluvianum,45,3.825,0.01371954,-0.791,0.01371954,0.702,0.115611344,0.904109589,0.320776256,0.320776256,0.237442922
R. diluvianum,46,3.848,0.011513464,-0.824,0.011513464,0.636,0.108132379,0.852054795,0.268721462,0.268721462,0.185388128
R. diluvianum,46,3.818,0.014221262,-0.964,0.014221262,0.628,0.160542652,0.852054795,0.268721462,0.268721462,0.185388128
R. diluvianum,47,3.816,0.008579699,-0.786,0.008579699,0.711,0.160153298,0.8,0.216666667,0.216666667,0.133333333
R. diluvianum,47,3.789,0.012758718,-0.738,0.012758718,0.719,0.114606847,0.8,0.216666667,0.216666667,0.133333333
R. diluvianum,48,3.821,0.012393644,-0.873,0.012393644,0.656,0.092388005,0.745205479,0.161872146,0.161872146,0.078538812
R. diluvianum,48,3.812,0.011260015,-0.92,0.011260015,0.693,0.140584572,0.745205479,0.161872146,0.161872146,0.078538812
R. diluvianum,49,3.718,0.01054698,-0.762,0.01054698,0.631,0.087037771,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,49,3.772,0.012879579,-0.829,0.012879579,0.613,0.120455288,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,50,3.521,0.009456357,-0.982,0.009456357,0.665,0.131441361,0.630136986,0.046803653,0.046803653,0.963470319
