"latitude","longitude","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
50,7.5,1.37560546863824,1.58913576160558,1.31280303758103,1.46901580737904,1.04396310634911,0.458397797774523,0.343257204804104,0.656478213204537,1.16706086264458,1.84906193171628,1.9455669214949,1.78169013233855
50,11.25,1.67495241039433,1.88934032921679,1.64026626152918,1.91809586249292,1.05319315334782,0.438274707994424,0.212422015465563,0.498681263707113,1.28952754021157,2.33849629294127,2.53589388448745,2.21660545212217
50,15,1.9435029302258,2.2776780941058,1.73192473012023,2.23774922196753,1.12361041246913,0.476264728058595,0.154959462452098,0.692507889471017,1.55699671595357,2.29470079648308,2.80995068605989,2.8403839096427
47.5,7.5,1.55419658403844,1.65023087756708,1.58704819623381,1.89084341400303,1.03888980229385,0.573467000504024,0.49814774247352,1.03624415933155,1.2357444036752,1.73814750742167,1.67933530756272,1.81628779973835
47.5,11.25,1.71915118116885,1.83139927103184,1.60753016243689,2.17515164986253,1.16002894355915,0.766068912344053,0.201745657977881,0.767458291375078,1.13198024046142,1.94494660827331,2.06381242023781,2.03836559085175
47.5,15,1.76428615814075,1.90960541367531,1.6371549514588,1.98092163191177,1.121993464767,0.656207464635372,0.135813587985467,0.627564065507613,0.804052685271017,1.75468709785491,2.23627631203271,2.30262782424688
45,7.5,1.86508949263953,1.71221772325225,1.7604814551305,2.08991995314136,1.29840892623179,0.958857452496886,1.1803240457084,1.3560468214564,1.63042155909352,1.56660834909417,1.83990292134695,2.15203268453479
45,11.25,2.22617638064548,1.89410921302624,1.96706304559484,2.32345617259853,1.38563907821663,1.13627638493199,0.524794061493594,0.865274001262151,1.22070899815299,1.93234232137911,1.99688601423986,2.40140472888015
45,15,2.25295797572471,2.05595658626407,2.40667448379099,2.27535195881501,1.39378707390279,0.98611956636887,0.30524176399922,0.739638964296319,0.867573890718631,1.97761151357554,2.26589607191272,2.32577052083798
42.5,7.5,2.19678466091864,2.01099935802631,2.14225666131824,2.21113578882068,1.8856241076719,1.53644701349549,1.39192361966707,1.4805946208071,1.54468741966411,2.11224557133391,2.16066222055815,2.23365078563802
42.5,11.25,2.48498388100415,2.16101771802641,2.72045301971957,2.47081993147731,1.70462419046089,1.51221440755762,1.39085115515627,1.49799702339806,1.1437758570537,1.77008051541634,1.88766751089133,2.40306293126196
42.5,15,2.25652395165525,2.18505245866254,2.37635190133005,2.21175453043543,1.87135281739756,1.23358006530907,1.15509417664725,1.55496399966069,1.07905425829813,1.94690734497271,2.1598341409117,2.50656172866002
