"latitude","longitude","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
50,7.5,1.39567792415619,1.5394127368927,1.37310481071472,1.20545637607574,1.25623452663422,1.66301691532135,1.3149778842926,1.19460594654083,1.21621000766754,1.29703187942505,1.14108872413635,1.24129617214203
50,11.25,1.34435546398163,1.48253726959229,1.35015428066254,1.16815388202667,1.21192002296448,1.2767961025238,1.01036298274994,1.0257111787796,1.19895792007446,1.26037359237671,1.1388041973114,1.20585310459137
50,15,1.30104124546051,1.44157040119171,1.23533058166504,1.14336860179901,1.31299591064453,1.26037359237671,0.810092628002167,0.962851703166962,1.1180340051651,1.3149778842926,1.13192319869995,1.12485826015472
47.5,7.5,1.48429274559021,1.72451686859131,1.52069067955017,1.37310481071472,1.37310481071472,1.75445866584778,1.53432941436768,1.4215601682663,1.44697964191437,1.39567792415619,1.12962019443512,1.25559973716736
47.5,11.25,1.32287561893463,1.57122564315796,1.38819432258606,1.3149778842926,1.26037359237671,1.33463478088379,1.29903817176819,1.33463478088379,1.48253726959229,1.37120687961578,1.17482268810272,1.16933608055115
47.5,15,1.12036085128784,1.21192002296448,1.15018117427826,1.10632646083832,1.09924221038818,1.05326879024506,1.04083299636841,1.16815388202667,1.31101107597351,1.35592842102051,1.15695357322693,1.01015257835388
45,7.5,1.46664297580719,1.80998396873474,1.61535596847534,1.51382517814636,1.61535596847534,2.01297879219055,1.8846971988678,1.23322069644928,1.44697964191437,1.42886900901794,1.1342214345932,1.26571750640869
45,11.25,1.39567792415619,1.63299322128296,1.41605377197266,1.46841752529144,1.5394127368927,1.66301691532135,1.85404968261719,1.45057463645935,1.54784798622131,1.37310481071472,1.23322069644928,1.22266018390656
45,15,1.15920233726501,1.19678390026093,1.10632646083832,1.1388041973114,1.15920233726501,1.125,1.59426057338715,1.45773804187775,1.37310481071472,1.20761477947235,1.18804812431335,1.02767813205719
42.5,7.5,1.47901999950409,1.85123836994171,1.5086555480957,1.46841752529144,1.66926884651184,1.90667688846588,1.0944938659668,0.835414052009583,1.22474491596222,1.29099452495575,1.06555938720703,1.32480263710022
42.5,11.25,1.554563164711,1.89159321784973,1.53602576255798,1.5926262140274,1.40682864189148,1.66145014762878,1.36549746990204,0.866025388240814,1.28695380687714,1.34241700172424,1.27883410453796,1.35149192810059
42.5,15,1.17038094997406,1.2767961025238,1.23743689060211,1.16815388202667,1.06066024303436,1.25,1.55120921134949,0.940965831279755,1.1180340051651,1.14108872413635,1.22048485279083,1.07854771614075
