,modelname,ja_SST,fb_SST,mr_SST,ar_SST,my_SST,jn_SST,jl_SST,ag_SST,sp_SST,ot_SST,nv_SST,dc_SST,ja_SAT,fb_SAT,mr_SAT,ar_SAT,my_SAT,jn_SAT,jl_SAT,ag_SAT,sp_SAT,ot_SAT,nv_SAT,dc_SAT,ar_SSS,ag_SSS,dc_SSS,fb_SSS,ja_SSS,jl_SSS,jn_SSS,mr_SSS,my_SSS,nv_SSS,ot_SSS,sp_SSS,ar_precip,ag_precip,dc_precip,fb_precip,ja_precip,jl_precip,jn_precip,mr_precip,my_precip,nv_precip,ot_precip,sp_precip,ja_SST_D47,ja_SST_D47_SE,fb_SST_D47,fb_SST_D47_SE,mr_SST_D47,mr_SST_D47_SE,ar_SST_D47,ar_SST_D47_SE,my_SST_D47,my_SST_D47_SE,jn_SST_D47,jn_SST_D47_SE,jl_SST_D47,jl_SST_D47_SE,ag_SST_D47,ag_SST_D47_SE,sp_SST_D47,sp_SST_D47_SE,ot_SST_D47,ot_SST_D47_SE,nv_SST_D47,nv_SST_D47_SE,dc_SST_D47,dc_SST_D47_SE,ja_SAT_D47,ja_SAT_D47_SE,fb_SAT_D47,fb_SAT_D47_SE,mr_SAT_D47,mr_SAT_D47_SE,ar_SAT_D47,ar_SAT_D47_SE,my_SAT_D47,my_SAT_D47_SE,jn_SAT_D47,jn_SAT_D47_SE,jl_SAT_D47,jl_SAT_D47_SE,ag_SAT_D47,ag_SAT_D47_SE,sp_SAT_D47,sp_SAT_D47_SE,ot_SAT_D47,ot_SAT_D47_SE,nv_SAT_D47,nv_SAT_D47_SE,dc_SAT_D47,dc_SAT_D47_SE,ar_SSS_d18Ow,ag_SSS_d18Ow,dc_SSS_d18Ow,fb_SSS_d18Ow,ja_SSS_d18Ow,jl_SSS_d18Ow,jn_SSS_d18Ow,mr_SSS_d18Ow,my_SSS_d18Ow,nv_SSS_d18Ow,ot_SSS_d18Ow,sp_SSS_d18Ow,ja_d18Oc,fb_d18Oc,mr_d18Oc,ar_d18Oc,my_d18Oc,jn_d18Oc,jl_d18Oc,ag_d18Oc,sp_d18Oc,ot_d18Oc,nv_d18Oc,dc_d18Oc
0,ccsm4,,,,,,,,,,,,,8.39,8.81,9.63,12.05,15.15,19.61,22.81,22.96,19.02,14.7,11.03,9.13,,,,,,,,,,,,,1.4816770299275717,1.825992393493652,4.034268468221029,2.9575911458333333,3.776681518554688,0.7316453456878661,0.9968387985229492,1.9218066787719723,1.3435850969950358,3.962916259765624,3.3872273763020826,2.900725809733073,,,,,,,,,,,,,,,,,,,,,,,,,0.6480998232159679,0.0013260703240124863,0.6465937429044503,0.0013145959543489196,0.6436730272034081,0.0012928906417494764,0.6352028498459651,0.0012342283180908629,0.6246692634329752,0.0011708857187564062,0.6101099301176836,0.0011027870024640646,0.6000755702838749,0.0010701022100699181,0.5996133525126154,0.0010688876977371998,0.6119969107122594,0.0011102625246146415,0.6261767889120968,0.0011792591382709069,0.6387459841167605,0.0012579694801747292,0.6454508582321783,0.001306015807905418,,,,,,,,,,,,,,,,,,,,,,,,
1,ccsm4uot,8.33,7.14,7.45,9.67,13.33,18.4,22.5,24.35,22.6,18.74,14.83,10.86,6.97,7.58,9.96,12.54,16.46,21.92,25.43,24.72,19.69,14.32,9.94,7.02,18.6416197882758,17.6645834181044,19.1750047471788,19.1550790998671,19.2409610748291,17.7067970699734,17.9937210083008,18.9228269788954,18.3577507866753,18.861999935574,18.4529128604465,17.9344622294108,1.4941036,1.7325262,3.068386,2.1043625,2.7582226,0.96502393,1.2864212,1.389566,1.4737321,3.4283905,2.5979311,2.3230107,0.6483155397699423,0.001327729230020576,0.6526231899352836,0.0013616465174354224,0.6514956364209183,0.001352624912036388,0.6435312165903622,0.0012918554632472897,0.6308111404995644,0.001206467577272615,0.6139924705410327,0.0011186158711836024,0.6010331007031945,0.0010727004517273305,0.5953640789357891,0.0010589375067272789,0.6007238835544961,0.0010718492758215975,0.6128965219635834,0.0011139716019135076,0.625740539780695,0.0011768115682479622,0.6393403007931302,0.001262065888038852,0.6532431493098482,0.0013666493735336968,0.6510239261637492,0.0013488806163551544,0.6425049249032788,0.0012844162035416838,0.6335145235169246,0.0012233339337001598,0.6203214891173325,0.0011480897157115132,0.602832903182248,0.0010778837402854347,0.592104286928532,0.0010527932596687167,0.5942432145509235,0.0010566789191894324,0.6098549654471916,0.0011018087217009422,0.6274554477856982,0.001186546868484774,0.642575600236224,0.0012849255428069018,0.653060688689851,0.001365173865352326,-4.192196178012431,-4.4599041434393945,-4.046048699273009,-4.051508326636416,-4.027976665496826,-4.448337602827288,-4.369720443725582,-4.11514540778266,-4.269976284450968,-4.131812017652724,-4.2439018762376595,-4.3859573491414405,-1.4707877254046595,-1.2201258381571525,-1.3551914907319689,-1.9437629982889275,-2.8648610770776965,-4.132808001329267,-5.156125621260468,-5.593959442978566,-5.116786842228998,-4.08533044766623,-3.0723189300951192,-2.0718090679366035
2,ccsm4utr,9.96,8.75,8.95,11.03,14.62,19.37,23.5,25.29,23.95,20.76,16.37,12.48,9.43,9.5,10.88,13.14,16.81,21.09,25.02,24.99,21.79,17.26,12.84,10.15,,,,,,,,,,,,,1.5255526438699238,1.7026725817169337,3.9656465181389646,2.613341044376648,3.2365065652993508,1.2565459382534756,1.6769936429574956,1.656356114938535,1.6950416339122971,3.999845281817397,2.9778105646077164,2.365356657281154,0.6425049249032788,0.0012844162035416838,0.6468084764130242,0.0013162203591011547,0.6460932421021643,0.0013108248637190767,0.6387459841167605,0.0012579694801747292,0.626445550220941,0.0011807768860499805,0.6108761074604417,0.0011057724090015619,0.5979552998364464,0.0010647441566679578,0.5925248120429459,0.0010535132333293316,0.5965806443925531,0.0010615619954103732,0.6064652437643876,0.0010895285179120145,0.6206182632410138,0.0011495808457386532,0.6337207805650922,0.0012246501281008167,0.6443830031006665,0.0012980995111252001,0.6441343364412782,0.0012962701561003438,0.639270324604341,0.0012615818895489574,0.6314592336619026,0.00121044535992492,0.6191700506958081,0.0011423956884367172,0.6054274345117852,0.0010860406493003712,0.5933375360166824,0.001054965659263493,0.5934279780835487,0.0010551322596620664,0.6032377971170177,0.0010791035415546977,0.617695876326996,0.0011353192409536582,0.632485226707755,0.001216827520672095,0.6418342715380607,0.0012796049285247217,,,,,,,,,,,,,,,,,,,,,,,,
3,cesm1.2,,,,,,,,,,,,,9.32,9.84,10.56,13.06,16.71,20.91,23.83,23.44,20.11,15.96,12.77,10.38,,,,,,,,,,,,,1.4616248575846351,2.224232622782389,3.428274993896484,2.466814956665039,3.1997644805908205,0.8450935935974121,0.7877796109517416,2.0659391657511392,1.1321481068929036,3.4588129425048826,3.0495577748616536,2.940247548421224,,,,,,,,,,,,,,,,,,,,,,,,,0.6447741465340794,0.001300987807910735,0.6429292065018491,0.0012874804920053396,0.6403917582212014,0.0012693920266913785,0.6317325095634774,0.001212135121838422,0.6194985982107488,0.00114400555298924,0.6059930695127512,0.001087925746863681,0.5969465945314856,0.0010623866863221144,0.5981390707658485,0.001065186966457777,0.6085198981077926,0.001096810491973726,0.6219738201607942,0.0011565135764289908,0.6327250999446661,0.0012183345692279785,0.6410242696962879,0.001273847233626242,,,,,,,,,,,,,,,,,,,,,,,,
4,cesm2,,,,,,,,,,,,,10.7,10.44,11.75,13.85,17.69,22.31,25.02,25.18,21.79,17.65,13.99,12.05,,,,,,,,,,,,,1.5497173563639322,2.337191276550293,4.229531300862631,2.705795733133952,3.4242492421468094,1.708421783447265,1.1248009363810223,1.911964823404948,1.4485869852701825,4.192045313517252,3.278223164876302,2.66505318959554,,,,,,,,,,,,,,,,,,,,,,,,,0.6399006543205416,0.0012659577263063983,0.6408132958474941,0.0012723572058962605,0.636240913953384,0.00124106195819145,0.6290441310710966,0.0011958357036085858,0.6162937491495628,0.0011288133364784076,0.6016214978657571,0.0010743520170847119,0.5933375360166824,0.001054965659263493,0.592855649433514,0.0010540947752609013,0.6032377971170177,0.0010791035415546977,0.6164239114936394,0.0011294080090141006,0.6285700726856737,0.0011930369855168918,0.6352028498459651,0.0012342283180908629,,,,,,,,,,,,,,,,,,,,,,,,
5,cosmos,7.91,6.68,6.38,7.34,9.53,12.23,14.95,15.94,14.94,13.34,11.49,9.58,5.76,5.15,6.8,9.35,12.59,15.93,18.34,17.94,15.54,12.2,8.91,7.43,19.6715186436971,19.139396349589,19.8225533167521,19.9303941726685,19.8869209289551,19.2280015945435,19.3588631947835,19.860138575236,19.4682207107544,19.7290767033895,19.5235007603963,19.2641487121582,1.8934193166097,2.236650072733561,4.758619715372721,3.7092565663655592,4.246737976074218,1.8439176305135088,1.549427324930827,2.9179471588134773,1.7583507156372071,4.142669525146485,3.3784784189860027,2.6205870310465493,0.6498295082012188,0.0013394793754734448,0.6543033911388988,0.0013752743177907196,0.6554037407728889,0.001384316817482662,0.6518952991038719,0.001355811148489478,0.644027822767078,0.0012954882072567066,0.6345816159272888,0.0012301877765350491,0.6253383837060058,0.0011745728906267518,0.6220400956867187,0.0011568576302151171,0.6253718771017887,0.0011747586913637225,0.6307770668192855,0.0012062596003108118,0.6371432829460013,0.0012470849369918212,0.6438503769233794,0.0012941877069071836,0.6576892965046226,0.0014033910495380821,0.6599532273580108,0.0014226645813375982,0.6538642623160507,0.001371691518799493,0.6446674247718709,0.001300198442934498,0.6333427440255549,0.0012222409020364324,0.6220732387208721,0.0011570298620879492,0.6141862802172043,0.0011194514767256063,0.6154814765139388,0.0011251454507084301,0.623368563448015,0.0011638536060094285,0.6346850715211839,0.0012308580934922591,0.6462361646692018,0.001311899576622031,0.6515682666624947,0.00135320300179376,-3.910003891626994,-4.0558054002126145,-3.868620391209925,-3.8390719966888316,-3.8509836654663028,-4.031527563095081,-3.9956714846293213,-3.8583220303853363,-3.9657075252532943,-3.8942329832712774,-3.950560791651414,-4.021623252868654,-1.1970205318257499,-0.9016987247994299,-0.8518243345328007,-1.1247043524564861,-1.6850162810136626,-2.337100056057892,-2.9996842451227312,-3.2520726813186043,-2.9874757874308653,-2.547749731743579,-2.0651546422574527,-1.5994498842974818
6,ecearth3.3,9.18,7.62,7.41,9.32,13.58,19.22,24.06,25.27,23.56,20.26,16.05,12.13,7.14,6.78,7.67,11.21,15.82,21.4,25.29,25.23,22.09,17.07,12.42,9.21,,,,,,,,,,,,,1.5038513183593747,2.976929270426433,3.707207921346028,2.4328119659423826,3.0778886667887364,1.7847987747192382,1.4940093994140626,1.8968541717529293,1.3139934221903482,3.953298950195313,3.609934438069661,3.142436637878418,0.6452726409189736,0.001304687846743442,0.6508789191376692,0.0013477331601369615,0.651640912765751,0.0013537816363512719,0.6447741465340794,0.001300987807910735,0.629960390814734,0.0012013095461461793,0.6113559479557282,0.0011076768921173448,0.5962455881646498,0.0010608212110068279,0.5925849364705444,0.0010536179291033914,0.5977716428820241,0.001064305720047846,0.6080445079462694,0.0010950812997243076,0.6216757541461853,0.0011549720985689802,0.6349265975796693,0.0012324269990286612,0.6526231899352836,0.0013616465174354224,0.6539374104101409,0.0013722872939371342,0.6506977493289898,0.0013463019081074148,0.6381178939544833,0.001253675547219143,0.6224380441804092,0.0011589334364463088,0.6044557690605137,0.0010828914552277295,0.5925248120429459,0.0010535132333293316,0.5927052224176698,0.0010538287054230235,0.6023042512946736,0.0010763207760250781,0.6183174507793773,0.0011382735873092427,0.6339271704381158,0.0012259712933114773,0.6451657569396433,0.0013038927166743937,,,,,,,,,,,,,,,,,,,,,,,,
7,giss2.1g,4.87,3.58,3.88,6.75,11.21,15.56,18.68,19.39,17.68,14.47,10.53,7.18,3.59,3.25,4.9,8.52,12.19,15.79,18.26,18.25,15.67,11.31,7.14,4.87,,,,,,,,,,,,,1.4948073069254555,2.0560657501220705,3.148026555379232,2.471669832865397,2.8589989980061854,1.686320368448893,1.5688009897867838,2.1567333857218425,1.5611565272013348,3.0903201039632155,2.935514272054036,2.4947104899088544,0.6609975071558469,0.0014316793842938606,0.665850529688537,0.0014745715070281038,0.6647157409027235,0.0014643976566556588,0.6540471625734464,0.0013731819752206467,0.6381178939544833,0.001253675547219143,0.6233020060300913,0.0011634986053006865,0.6130896402107486,0.0011147799743022695,0.6108121857227221,0.0011055207239430297,0.6163262845900176,0.0011289618024233155,0.6269500954129609,0.001183646393946069,0.6404970914053776,0.001270131461743714,0.6524774844909835,0.0013604750881485133,0.6658126426869757,0.0014742304405936653,0.6671031567527497,0.0014859016026362495,0.6608854659514463,0.0014307084658828832,0.647632920202785,0.0013224929255331043,0.6347195641269199,0.001231081808633464,0.6225376104749912,0.0011594554650505703,0.6144448834672875,0.0011205731117221172,0.6144772241800232,0.0011207139186451538,0.6229361927369697,0.00116155589429519,0.6377694811046424,0.0012513093404674567,0.6526231899352836,0.0013616465174354224,0.6609975071558469,0.0014316793842938606,,,,,,,,,,,,,,,,,,,,,,,,
8,hadcm3,9.12,8.54,8.62,10.04,13.39,18.25,22.7,24.82,22.94,17.92,13.31,10.47,7.13,7.08,8.46,11.38,15.27,20.31,24.28,24.55,20.13,15.21,11.06,8.04,35.5055351257324,34.6056776046753,35.5052480697632,35.6165056228638,35.5834283828735,34.8787698745727,35.1344413757324,35.6041736602783,35.330171585083,35.3555030822754,35.0682058334351,34.6961116790771,1.6424858538309737,1.2248659324645996,3.316262181599935,2.5832661692301437,3.149500681559245,0.4463454278310139,1.3693417040507,1.9649519983927408,1.532707144419352,3.775210367838542,3.5133468882242838,2.971949106852214,0.6454865133019511,0.0013062818117594733,0.6475611475572999,0.0013219446094668663,0.6472742130364098,0.0013197568214852065,0.6422223764931384,0.0012823843491732594,0.6306067530827968,0.0012052217853863619,0.6144772241800232,0.0011207139186451538,0.6004149869170756,0.0010710105235114634,0.5939410108831966,0.0010560961440729026,0.5996749400546844,0.0010690480293837903,0.6155463796195875,0.0011254357870723174,0.6308792987972179,0.0012068839451347452,0.6407078602039236,0.0012716140514335912,0.652659626249991,0.0013619397149259166,0.6528418675740341,0.0013634077430395297,0.6478483318475481,0.0013241411586862597,0.6375258153441381,0.0012496612045730232,0.6242684737744627,0.001168699773211983,0.607886210121815,0.0010945114171349406,0.5955766156565814,0.0010593830261152448,0.5947576756433545,0.0010576965898609996,0.6084564696710043,0.0010965782374558553,0.6244688046965826,0.0011697902759486446,0.6386412177663447,0.0012572507214676503,0.6493601585420649,0.0013358166685464136,0.42851662445067795,0.18195566368103222,0.42843797111511606,0.4589225406646804,0.4498593769073391,0.2567829456329189,0.32683693695067717,0.4555435829162544,0.38046701431274244,0.3874078445434588,0.30868839836121786,0.20673460006712574,2.8250206672299205,2.9677243839826533,2.945912246510725,2.5916963479529826,1.7717573368933879,0.5983115913285577,-0.4970880221090161,-1.0603945667337142,-0.6024359068453167,0.656199919098545,1.7971313468476064,2.4925393536035956
9,hadgem3,11.73,10.06,9.73,10.95,13.64,17.51,21.33,23.07,22.48,20.37,17.46,14.46,7.95,7.86,8.92,11.42,15.13,19.28,22.57,22.98,21.1,17.55,13.47,10.16,32.9474587440491,32.4890193939209,32.8966417312622,33.0949487686157,33.0660848617554,32.465359210968,32.5998334884643,33.0405559539795,32.7978777885437,32.6582984924316,32.5343556404114,32.5135135650635,1.6852154795328778,1.6733856964111329,4.301073404947917,2.6706429672241208,3.454263737996419,1.1226975504557293,1.1102708307902018,2.193309364318848,1.3609407107035318,4.106898905436197,3.0585954030354823,1.9431622060139977,0.6363102373635963,0.001241521951620291,0.642151777599191,0.0012818777614331312,0.6433186158600036,0.001290306818992566,0.6390255268062459,0.001259892237708462,0.6297565490330457,0.0012000844483467702,0.6168799122660399,0.0011315063556537942,0.6046749032193761,0.0010835918245041102,0.59927484897881,0.0010680146732215733,0.6010949826328715,0.0010728721803212014,0.6076963618734242,0.001093831851582205,0.6170429329300293,0.0011322621760527136,0.6269837604400295,0.0011838387953654105,0.6496850220930228,0.001338349930496283,0.6500102044484414,0.0013408942537664122,0.6462004282058383,0.00131163069272876,0.6373866602250926,0.0012487224481617064,0.6247361114335334,0.0011712519643847174,0.6111639211902733,0.0011069115298047124,0.6008166150254795,0.0010721033227860553,0.5995517777280821,0.0010687278587400467,0.6053960414546595,0.0010859371418328071,0.6167495576248938,0.0011309041295249852,0.6303344404847115,0.0012035684564616353,0.641799012162966,0.001279353079626584,-0.27239630413054705,-0.3980086860656744,-0.28632016563415696,-0.23198403739929851,-0.23989274787902026,-0.4044915761947667,-0.36764562416078306,-0.24688766860961664,-0.3133814859390256,-0.3516262130737413,-0.3855865545272774,-0.3912972831726016,1.5338860539642978,1.9265873911721303,1.9877206263212592,1.6811060000169191,1.020305150005675,0.07433594265949339,-0.8426943411717245,-1.2371331100288079,-1.0944770066749054,-0.6025911628222083,0.1018760910737243,0.8584263781446451
