ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AB002,5,,,,,,,,,-1.5,2.15,,,,,0.1,145.316271,,,,145.316271,
AB007,11,,,,,,,,,-1.36,2.47,,,,,0.1,134.6953955,8.242296725,,,134.6953955,
AB011,16,,,,,,,,,-1.19,1.45,,,,,0.1,134.0920167,8.825503237,,,134.0920167,
AB015,21,,,,,,,,,-0.92,1.34,,,,,0.1,134.2175087,10.06594994,,,134.2175087,
AC001,26,,,,,,,,,-0.64,1.85,,,,,0.1,137.4180389,10.66292936,,,137.4180389,
AC005,31,,,,,,,,,-1.14,0.77,,,,,0.1,139.5313975,10.40008764,,,139.5313975,
AC009,36,,,,,,,,,-0.81,2.15,,,,,0.1,141.891532,10.22723266,,,141.891532,
AC013,41,,,,,,,,,-1.53,0.73,,,,,0.1,144.9943124,9.933988341,,,144.9943124,
AC017,46,,,,,,,,,-1.04,1.65,,,,,0.1,146.2589499,9.302412099,,,146.2589499,
AD002,51,,,,,,,,,-1.13,1.48,,,,,0.1,148.8425512,8.591251041,,,148.8425512,
AD006,56,,,,,,,,,-1.15,0.53,,,,,0.1,150.8128275,7.894696207,,,150.8128275,
AD009,61,,,,,,,,,-1.88,1.21,,,,,0.1,151.8070349,7.320031645,,,151.8070349,
AD013,66,,,,,,,,,-1.46,1.75,,,,,0.1,152.7258153,6.679215053,,,152.7258153,
AD017,71,,,,,,,,,-1.3,1.63,,,,,0.1,156.9212698,6.18919045,,,156.9212698,
AE001,76,,,,,,,,,-1.32,1.74,,,,,0.1,157.0975394,5.796487253,,,157.0975394,
AE005,81,,,,,,,,,-2.02,0.09,,,,,0.1,158.0931626,5.589414013,,,158.0931626,
AE007,86,,,,,,,,,-1.97,1,,,,,0.1,159.5547542,5.407914144,,,159.5547542,
AE013,91,,,,,,,,,-1.68,0.7,,,,,0.1,161.1561242,5.020234823,,,161.1561242,
AE017,96,,,,,,,,,-1.56,1.2,,,,,0.1,162.7036888,4.623721245,,,162.7036888,
AE021,101,,,,,,,,,-1.75,1.06,,,,,0.1,164.5125423,4.404285525,,,164.5125423,
AF001,106,,,,,,,,,-1.98,0.91,,,,,0.1,166.0863941,4.300846088,,,166.0863941,
AF010,117,,,,,,,,,-1.71,0.37,,,,,0.1,169.3832457,4.805260546,,,169.3832457,
AF013,121,,,,,,,,,-1.8,0.67,,,,,0.1,171.0729883,4.930020494,,,171.0729883,
AF017,126,,,,,,,,,-1.8,0.73,,,,,0.1,172.8602738,5.60416637,,,172.8602738,
AF021,131,,,,,,,,,-0.33,0.33,,,,,0.1,174.4507044,6.261172021,,,174.4507044,
AF025,136,,,,,,,,,-1.93,0.19,,,,,0.1,175.8333319,6.845071034,,,175.8333319,
AG004,141,,,,,,,,,-2.1,0.03,,,,,0.1,176.7864943,45.57272949,,,176.7864943,
AG008,146,,,,,,,,,-1.98,0.39,,,,,0.1,177.9952727,41.99684111,,,177.9952727,
AG012,151,,,,,,,,,-1.97,0.34,,,,,0.1,178.915338,52.33172678,,,178.915338,
AG016,156,,,,,,,,,-2.08,0.45,,,,,0.1,180.1778918,22.54580756,,,180.1778918,
AG020,161,,,,,,,,,-1.86,0.26,,,,,0.1,181.286356,42.67693908,,,181.286356,
AG024,166,,,,,,,,,-1.92,0.1,,,,,0.1,182.8439165,21.58207329,,,182.8439165,
AG028,171,,,,,,,,,-1.9,0.32,,,,,0.1,184.3106932,61.94346088,,,184.3106932,
AH004,176,,,,,,,,,-1.76,0.2,,,,,0.1,185.3357609,57.48127569,,,185.3357609,
AH008,181,,,,,,,,,-0.63,0.96,,,,,0.1,186.8169378,18.91585214,,,186.8169378,
AH012,186,,,,,,,,,-2.26,0.26,,,,,0.1,188.6610668,14.7569351,,,188.6610668,
AH016,191,,,,,,,,,-2.44,0.4,,,,,0.1,190.9884493,11.78890366,,,190.9884493,
AH020,196,,,,,,,,,-2.24,0.38,,,,,0.1,193.5123237,11.47329134,,,193.5123237,
AH024,201,,,,,,,,,-2.03,0.27,,,,,0.1,194.4956636,11.89959287,,,194.4956636,
AH028,206,,,,,,,,,-1.94,0.22,,,,,0.1,195.5863966,12.73765376,,,195.5863966,
AI001,211,,,,,,,,,-2.16,-0.02,,,,,0.1,197.1820376,14.48573796,,,197.1820376,
AI005,216,,,,,,,,,-1.87,0.22,,,,,0.1,198.6070073,13.77250322,,,198.6070073,
