"ID","D","Run","Row","Sample.intensity","X49.parameter","D47_raw","D47_SD","D47_final","Temperature","d18O","d13C","Whorl","sample_nr","Year","season_manual","d18O_SD","day","season_label","T_d18O","DOY","Season"
"AQ025",794,508,27,18607,0.038,-0.243,0.1,0.568,34.1,-2.79,0.67,"AQ",25,2,"summer",0.1,556.1204751,3,28.5856,191.1204751,"summer"
"AQ027",800,506,24,16064,0.065,-0.237,0.119,0.581,29.4,-2.98,0.53,"AQ",27,2,"summer",0.1,558.0209776,3,29.4102,193.0209776,"summer"
"AR001",806,508,32,20089,0.034,-0.252,0.103,0.559,37.6,-2.58,0.7,"AR",1,2,"summer",0.1,559.7602501,3,27.6742,194.7602501,"summer"
"AR003",812,506,36,21857,0.01,-0.161,0.114,0.574,31.9,-2.93,0.38,"AR",3,2,"summer",0.1,562.0838164,3,29.1932,197.0838164,"summer"
"AR005",818,508,39,14157,0.073,-0.254,0.121,0.556,38.9,-2.72,0.61,"AR",5,2,"summer",0.1,563.6567065,3,28.2818,198.6567065,"summer"
"AT015",1058,501,39,15671,0.046,-0.224,0.111,0.55,40.9,-2.01,0.95,"AT",15,2,"autumn",0.1,626.7229717,4,25.2004,261.7229717,"autumn"
"AT015",1058,502,17,16522,0.066,-0.232,0.118,0.585,28.1,-1.46,0.48,"AT",15,2,"autumn",0.1,626.7229717,4,22.8134,261.7229717,"autumn"
"AT015",1058,503,29,19308,0.028,-0.209,0.109,0.582,29.3,-1.75,0.42,"AT",15,2,"autumn",0.1,626.7229717,4,24.072,261.7229717,"autumn"
"AT015",1058,503,33,18534,0.025,-0.266,0.111,0.544,43.4,-1.81,0.4,"AT",15,2,"autumn",0.1,626.7229717,4,24.3324,261.7229717,"autumn"
"AT015",1058,506,6,16424,0.139,-0.21,0.112,0.643,9.5,-1.84,0.32,"AT",15,2,"autumn",0.1,626.7229717,4,24.4626,261.7229717,"autumn"
"AT015",1058,507,5,15098,0.231,-0.177,0.1,0.583,28.6,-1.58,0.41,"AT",15,2,"autumn",0.1,626.7229717,4,23.3342,261.7229717,"autumn"
"AT015",1058,507,8,15014,0.132,-0.189,0.122,0.552,40.4,-1.4,0.74,"AT",15,2,"autumn",0.1,626.7229717,4,22.553,261.7229717,"autumn"
"AT017",1064,501,27,20125,0.008,-0.26,0.108,0.61,19.7,-1.63,1.18,"AT",17,2,"autumn",0.1,628.9436232,4,23.5512,263.9436232,"autumn"
"AT017",1064,502,5,19335,0.057,-0.286,0.115,0.59,26.1,-1.57,0.41,"AT",17,2,"autumn",0.1,628.9436232,4,23.2908,263.9436232,"autumn"
"AT017",1064,503,27,14989,0.063,-0.184,0.136,0.623,15.7,-1.78,0.39,"AT",17,2,"autumn",0.1,628.9436232,4,24.2022,263.9436232,"autumn"
"AT017",1064,503,39,19034,0.026,-0.195,0.099,0.602,22.3,-1.75,0.4,"AT",17,2,"autumn",0.1,628.9436232,4,24.072,263.9436232,"autumn"
"AT017",1064,506,9,9007,0.13,-0.251,0.113,0.601,22.4,-1.43,0.42,"AT",17,2,"autumn",0.1,628.9436232,4,22.6832,263.9436232,"autumn"
"AT017",1064,507,11,13299,0.163,-0.132,0.115,0.618,17.2,-1.89,0.32,"AT",17,2,"autumn",0.1,628.9436232,4,24.6796,263.9436232,"autumn"
"AT017",1064,507,14,10947,0.181,-0.183,0.117,0.585,28.2,-1.4,0.46,"AT",17,2,"autumn",0.1,628.9436232,4,22.553,263.9436232,"autumn"
"AT019",1070,501,30,20818,-0.007,-0.252,0.074,0.612,19,-2.1,0.68,"AT",19,2,"autumn",0.1,631.7838105,4,25.591,266.7838105,"autumn"
"AT019",1070,502,24,22731,-0.017,-0.284,0.121,0.584,28.3,-1.5,0.21,"AT",19,2,"autumn",0.1,631.7838105,4,22.987,266.7838105,"autumn"
"AT019",1070,502,35,21961,-0.023,-0.249,0.096,0.569,33.7,-1.65,0.2,"AT",19,2,"autumn",0.1,631.7838105,4,23.638,266.7838105,"autumn"
"AT019",1070,503,32,23520,-0.009,-0.231,0.115,0.581,29.5,-1.39,0.32,"AT",19,2,"autumn",0.1,631.7838105,4,22.5096,266.7838105,"autumn"
"AT019",1070,506,15,15607,0.085,-0.242,0.106,0.61,19.5,-1.28,0.28,"AT",19,2,"autumn",0.1,631.7838105,4,22.0322,266.7838105,"autumn"
"AT019",1070,506,18,22003,0.039,-0.204,0.101,0.65,7.6,-1.69,0.2,"AT",19,2,"autumn",0.1,631.7838105,4,23.8116,266.7838105,"autumn"
"AT021",1076,502,6,20656,0.058,-0.318,0.107,0.559,37.7,-1.41,0.15,"AT",21,2,"autumn",0.1,633.6115029,4,22.5964,268.6115029,"autumn"
"AT021",1076,503,26,20483,0.028,-0.237,0.1,0.569,33.9,-1.46,0.2,"AT",21,2,"autumn",0.1,633.6115029,4,22.8134,268.6115029,"autumn"
"AT021",1076,503,30,24528,-0.031,-0.215,0.089,0.575,31.4,-1.51,0.18,"AT",21,2,"autumn",0.1,633.6115029,4,23.0304,268.6115029,"autumn"
"AT021",1076,504,5,16945,0.038,-0.329,0.104,0.517,54.8,-1.35,0.18,"AT",21,2,"autumn",0.1,633.6115029,4,22.336,268.6115029,"autumn"
"AT021",1076,506,27,22021,0.009,-0.276,0.1,0.551,40.5,-1.38,0.19,"AT",21,2,"autumn",0.1,633.6115029,4,22.4662,268.6115029,"autumn"
"AT021",1076,508,26,19252,0.065,-0.252,0.092,0.558,37.8,-1.53,0.21,"AT",21,2,"autumn",0.1,633.6115029,4,23.1172,268.6115029,"autumn"
"AT021",1076,508,29,12712,0.106,-0.172,0.14,0.608,20.5,-1.5,0.25,"AT",21,2,"autumn",0.1,633.6115029,4,22.987,268.6115029,"autumn"
"AT701",1074,501,42,19620,0.027,-0.189,0.113,0.592,25.7,-1.49,0.87,"AT",701,2,"autumn",0.1,631.6752391,4,22.9436,266.6752391,"autumn"
"AT701",1074,502,27,22221,0.004,-0.249,0.112,0.594,25,-1.65,0.12,"AT",701,2,"autumn",0.1,631.6752391,4,23.638,266.6752391,"autumn"
"AT701",1074,502,33,17178,0.064,-0.218,0.104,0.601,22.7,-1.61,0.15,"AT",701,2,"autumn",0.1,631.6752391,4,23.4644,266.6752391,"autumn"
"AT701",1074,503,38,22141,-0.077,-0.273,0.1,0.521,53.3,-1.47,0.2,"AT",701,2,"autumn",0.1,631.6752391,4,22.8568,266.6752391,"autumn"
"AT701",1074,506,20,18174,0.06,-0.246,0.116,0.589,26.6,-1.58,0.16,"AT",701,2,"autumn",0.1,631.6752391,4,23.3342,266.6752391,"autumn"
"AT701",1074,508,23,12166,0.096,-0.28,0.113,0.552,40.2,-1.7,0.19,"AT",701,2,"autumn",0.1,631.6752391,4,23.855,266.6752391,"autumn"
"AT701",1074,508,24,18507,0.057,-0.271,0.111,0.562,36.4,-1.55,0.2,"AT",701,2,"autumn",0.1,631.6752391,4,23.204,266.6752391,"autumn"
"AU002",1139,503,15,14951,0.065,-0.262,0.127,0.58,29.7,-0.38,1.04,"AU",2,2,"winter",0.1,693.7653394,5,18.1262,328.7653394,"winter"
"AU002",1139,500,6,18694,0.112,-0.245,0.104,0.609,20.1,-0.2,1.02,"AU",2,2,"winter",0.1,693.7653394,5,17.345,328.7653394,"winter"
"AU002",1139,502,11,15112,0.098,-0.256,0.13,0.586,27.8,-0.15,1.03,"AU",2,2,"winter",0.1,693.7653394,5,17.128,328.7653394,"winter"
"AU003",1142,500,41,17874,0.065,-0.229,0.135,0.609,20,-0.8,0.06,"AU",3,2,"winter",0.1,699.7018916,5,19.949,334.7018916,"winter"
"AU003",1142,502,30,24125,-0.024,-0.261,0.087,0.582,29,-0.37,0.11,"AU",3,2,"winter",0.1,699.7018916,5,18.0828,334.7018916,"winter"
"AU003",1142,502,36,17923,0.062,-0.26,0.118,0.502,61.8,-0.25,0.16,"AU",3,2,"winter",0.1,699.7018916,5,17.562,334.7018916,"winter"
"AU003",1142,503,18,17453,0.057,-0.282,0.102,0.613,18.8,-0.22,0.17,"AU",3,2,"winter",0.1,699.7018916,5,17.4318,334.7018916,"winter"
"AU003",1142,503,20,18056,0.042,-0.264,0.112,0.675,0.8,-0.29,0.17,"AU",3,2,"winter",0.1,699.7018916,5,17.7356,334.7018916,"winter"
"AU003",1142,503,35,23228,-0.02,-0.245,0.086,0.588,26.8,-0.45,0.16,"AU",3,2,"winter",0.1,699.7018916,5,18.43,334.7018916,"winter"
"AU003",1142,503,36,23970,0.002,-0.253,0.086,0.581,29.6,-0.26,0.19,"AU",3,2,"winter",0.1,699.7018916,5,17.6054,334.7018916,"winter"
"AU003",1142,503,41,17205,0.059,-0.213,0.097,0.566,34.8,-0.54,0.16,"AU",3,2,"winter",0.1,699.7018916,5,18.8206,334.7018916,"winter"
"AU003",1142,503,42,15203,0.071,-0.232,0.12,0.547,42.4,-0.14,0.17,"AU",3,2,"winter",0.1,699.7018916,5,17.0846,334.7018916,"winter"
"AU004",1145,503,5,19007,0.05,-0.187,0.092,0.591,25.9,-0.07,0.4,"AU",4,2,"winter",0.1,710.6086489,5,16.7808,345.6086489,"winter"
"AU004",1145,500,35,14873,0.068,-0.195,0.127,0.557,38.2,-0.22,0.2,"AU",4,2,"winter",0.1,710.6086489,5,17.4318,345.6086489,"winter"
"AU006",1151,502,32,13267,0.07,-0.214,0.129,0.66,4.7,0.24,1.16,"AU",6,2,"winter",0.1,746.8853448,1,15.4354,16.8853448,"winter"
"AU006",1151,502,26,18373,0.063,-0.199,0.097,0.645,9.1,0.05,1.25,"AU",6,2,"winter",0.1,746.8853448,1,16.26,16.8853448,"winter"
"AV015",1310,501,32,25642,-0.017,-0.272,0.09,0.592,25.7,-1.52,-0.08,"AV",15,3,"spring",0.1,872.6528287,3,23.0738,142.6528287,"summer"
"AV015",1310,502,29,16603,0.068,-0.252,0.106,0.591,25.9,-1.68,-0.77,"AV",15,3,"spring",0.1,872.6528287,3,23.7682,142.6528287,"summer"
"AV015",1310,502,42,24011,-0.014,-0.244,0.1,0.545,43.2,-1.49,-0.55,"AV",15,3,"spring",0.1,872.6528287,3,22.9436,142.6528287,"summer"
"AV017",1316,501,8,16549,0.045,-0.225,0.1,0.579,30.3,-1.42,-0.53,"AV",17,3,"spring",0.1,874.5142637,3,22.6398,144.5142637,"summer"
"AV017",1316,501,26,19348,0.025,-0.212,0.093,0.66,4.9,-1.77,-0.09,"AV",17,3,"spring",0.1,874.5142637,3,24.1588,144.5142637,"summer"
"AV017",1316,502,20,24206,-0.007,-0.259,0.099,0.583,28.9,-1.97,-0.59,"AV",17,3,"spring",0.1,874.5142637,3,25.0268,144.5142637,"summer"
"AV017",1316,502,39,17277,0.035,-0.211,0.094,0.57,33.5,-1.67,-0.48,"AV",17,3,"spring",0.1,874.5142637,3,23.7248,144.5142637,"summer"
"AV017",1316,503,24,18673,0.044,-0.251,0.107,0.563,36.1,-1.34,-0.55,"AV",17,3,"spring",0.1,874.5142637,3,22.2926,144.5142637,"summer"
"AV017",1316,506,32,19838,0.018,-0.137,0.111,0.608,20.2,-1.84,-0.67,"AV",17,3,"spring",0.1,874.5142637,3,24.4626,144.5142637,"summer"
"AV017",1316,506,33,13475,0.079,-0.196,0.161,0.547,42.1,-1.24,-0.41,"AV",17,3,"spring",0.1,874.5142637,3,21.8586,144.5142637,"summer"
"AV017",1316,508,30,16896,0.062,-0.187,0.083,0.592,25.6,-1.51,-0.48,"AV",17,3,"spring",0.1,874.5142637,3,23.0304,144.5142637,"summer"
"AV019",1322,501,33,8356,0.05,-0.315,0.169,0.547,42.3,-1.44,0.16,"AV",19,3,"spring",0.1,875.7388714,3,22.7266,145.7388714,"summer"
"AV019",1322,502,14,23938,-0.003,-0.28,0.113,0.547,42.1,-1.43,-0.35,"AV",19,3,"spring",0.1,875.7388714,3,22.6832,145.7388714,"summer"
"AV019",1322,503,9,17415,0.045,-0.223,0.123,0.596,24.4,-1.7,-0.45,"AV",19,3,"spring",0.1,875.7388714,3,23.855,145.7388714,"summer"
"AV021",1328,501,5,21322,0,-0.227,0.105,0.581,29.6,-1.97,-0.65,"AV",21,3,"spring",0.1,877.7207701,3,25.0268,147.7207701,"summer"
"AV021",1328,502,18,17956,0.047,-0.221,0.124,0.596,24.2,-1.93,-0.73,"AV",21,3,"spring",0.1,877.7207701,3,24.8532,147.7207701,"summer"
"AV021",1328,505,11,17174,0.082,-0.255,0.106,0.592,25.7,-1.72,-0.59,"AV",21,3,"spring",0.1,877.7207701,3,23.9418,147.7207701,"summer"
"AV021",1328,506,11,13593,0.145,-0.273,0.142,0.579,30,-1.16,-0.43,"AV",21,3,"spring",0.1,877.7207701,3,21.5114,147.7207701,"summer"
"AV021",1328,508,36,13632,0.103,-0.241,0.107,0.567,34.5,-1.49,-0.42,"AV",21,3,"spring",0.1,877.7207701,3,22.9436,147.7207701,"summer"
"AV023",1334,501,36,17657,0.05,-0.251,0.104,0.549,41.6,-1.4,-0.06,"AV",23,3,"spring",0.1,878.74362,3,22.553,148.74362,"summer"
"AV023",1334,502,15,19483,0.041,-0.264,0.111,0.564,35.7,-1.44,-0.77,"AV",23,3,"spring",0.1,878.74362,3,22.7266,148.74362,"summer"
"AV023",1334,503,6,19451,0.053,-0.26,0.097,0.517,55.3,-1.22,-0.67,"AV",23,3,"spring",0.1,878.74362,3,21.7718,148.74362,"summer"
"AV023",1334,503,23,15691,0.061,-0.252,0.112,0.561,36.8,-1.52,-0.74,"AV",23,3,"spring",0.1,878.74362,3,23.0738,148.74362,"summer"
"AV023",1334,508,38,18346,0.035,-0.221,0.094,0.59,26.2,-1.4,-0.64,"AV",23,3,"spring",0.1,878.74362,3,22.553,148.74362,"summer"
"AV025",1340,501,11,22199,0.018,-0.146,0.083,0.652,7.1,-1.54,-0.43,"AV",25,3,"spring",0.1,880.0337895,3,23.1606,150.0337895,"summer"
"AV025",1340,502,8,22471,0.01,-0.272,0.097,0.574,32.1,-1.35,-0.49,"AV",25,3,"spring",0.1,880.0337895,3,22.336,150.0337895,"summer"
"AV025",1340,504,41,19609,0.04,-0.259,0.119,0.571,32.9,-1.42,-0.4,"AV",25,3,"spring",0.1,880.0337895,3,22.6398,150.0337895,"summer"
"AV025",1340,506,29,17153,0.066,-0.296,0.125,0.512,57.3,-1.28,-0.11,"AV",25,3,"spring",0.1,880.0337895,3,22.0322,150.0337895,"summer"
"AV027",1346,501,23,24350,-0.015,-0.277,0.078,0.571,33.1,-1.63,0.13,"AV",27,3,"spring",0.1,881.8355515,3,23.5512,151.8355515,"summer"
"AV027",1346,502,9,23692,-0.013,-0.318,0.082,0.527,50.7,-1.75,-0.54,"AV",27,3,"spring",0.1,881.8355515,3,24.072,151.8355515,"summer"
"AV027",1346,503,8,20809,0.016,-0.184,0.11,0.628,14,-1.41,-0.38,"AV",27,3,"spring",0.1,881.8355515,3,22.5964,151.8355515,"summer"
"AV027",1346,506,35,19620,0.023,-0.186,0.112,0.548,41.9,-1.36,-0.37,"AV",27,3,"spring",0.1,881.8355515,3,22.3794,151.8355515,"summer"
"AW015",1453,500,11,18243,0.111,-0.217,0.091,0.599,23.1,-1.78,0.29,"AW",15,3,"summer",0.1,904.2941382,3,24.2022,174.2941382,"summer"
"AW015",1453,504,24,15737,0.042,-0.285,0.098,0.546,42.6,-1.77,0.28,"AW",15,3,"summer",0.1,904.2941382,3,24.1588,174.2941382,"summer"
"AW021",1471,500,17,16647,0.084,-0.171,0.138,0.653,6.8,-1.92,0.42,"AW",21,3,"summer",0.1,908.1214864,3,24.8098,178.1214864,"summer"
"AW021",1471,504,33,24522,-0.026,-0.297,0.098,0.562,36.4,-1.82,0.53,"AW",21,3,"summer",0.1,908.1214864,3,24.3758,178.1214864,"summer"
"AW023",1477,500,15,17887,0.07,-0.261,0.108,0.564,35.8,-1.95,0.51,"AW",23,3,"summer",0.1,909.8217075,3,24.94,179.8217075,"summer"
"AW023",1477,504,18,23917,-0.011,-0.251,0.106,0.6,23,-1.87,0.7,"AW",23,3,"summer",0.1,909.8217075,3,24.5928,179.8217075,"summer"
"AW025",1483,500,26,25129,0.018,-0.205,0.081,0.627,14.3,-2.05,0.73,"AW",25,3,"summer",0.1,911.1776915,3,25.374,181.1776915,"summer"
"AW025",1483,505,14,18873,0.021,-0.177,0.112,0.644,9.4,-2.24,0.71,"AW",25,3,"summer",0.1,911.1776915,3,26.1986,181.1776915,"summer"
"AW027",1489,500,36,16365,0.085,-0.19,0.123,0.563,36.2,-1.94,0.85,"AW",27,3,"summer",0.1,912.8952863,3,24.8966,182.8952863,"summer"
"AW027",1489,504,17,19717,0.023,-0.252,0.091,0.6,22.8,-1.77,0.99,"AW",27,3,"summer",0.1,912.8952863,3,24.1588,182.8952863,"summer"
"AW029",1495,500,23,21229,0.017,-0.232,0.096,0.592,25.5,-2.34,0.65,"AW",29,3,"summer",0.1,914.131834,3,26.6326,184.131834,"summer"
"AW029",1495,505,18,18542,0.033,-0.277,0.099,0.548,41.8,-1.69,0.69,"AW",29,3,"summer",0.1,914.131834,3,23.8116,184.131834,"summer"
"AW031",1501,500,42,25528,-0.031,-0.3,0.094,0.535,47,-2.16,0.7,"AW",31,3,"summer",0.1,915.4326729,3,25.8514,185.4326729,"summer"
"AW031",1501,504,6,20515,0.035,-0.254,0.102,0.595,24.8,-2.32,0.66,"AW",31,3,"summer",0.1,915.4326729,3,26.5458,185.4326729,"summer"
"AW035",1513,500,8,21636,0.058,-0.226,0.094,0.626,14.7,-2.6,0.64,"AW",35,3,"summer",0.1,918.5307909,3,27.761,188.5307909,"summer"
"AW035",1513,504,11,19345,0.042,-0.256,0.094,0.567,34.4,-1.85,0.96,"AW",35,3,"summer",0.1,918.5307909,3,24.506,188.5307909,"summer"
"AW035",1513,505,20,17535,0.053,-0.269,0.108,0.578,30.4,-1.89,0.99,"AW",35,3,"summer",0.1,918.5307909,3,24.6796,188.5307909,"summer"
"AW037",1519,501,9,15611,0.064,-0.183,0.119,0.622,16,-2.24,0.61,"AW",37,3,"summer",0.1,919.9126471,3,26.1986,189.9126471,"summer"
"AW037",1519,504,35,18712,0.008,-0.218,0.082,0.636,11.7,-2,0.84,"AW",37,3,"summer",0.1,919.9126471,3,25.157,189.9126471,"summer"
"AW039",1525.5,501,14,21170,0.058,-0.246,0.087,0.664,3.8,-2.05,1.29,"AW",39,3,"summer",0.1,921.5662715,3,25.374,191.5662715,"summer"
"AW041",1531,500,18,16072,0.091,-0.215,0.136,0.607,20.6,-2.11,0.68,"AW",41,3,"summer",0.1,923.0125718,3,25.6344,193.0125718,"summer"
"AW041",1531,505,15,15817,0.055,-0.199,0.118,0.591,25.9,-1.9,0.77,"AW",41,3,"summer",0.1,923.0125718,3,24.723,193.0125718,"summer"
"AW047",1549,500,24,25216,-0.016,-0.28,0.101,0.541,44.8,-2.32,0.38,"AW",47,3,"summer",0.1,927.8619898,3,26.5458,197.8619898,"summer"
"AW047",1549,504,23,16815,0.03,-0.247,0.12,0.586,27.6,-2.12,0.54,"AW",47,3,"summer",0.1,927.8619898,3,25.6778,197.8619898,"summer"
"AW048",1549,505,30,23060,0.015,-0.231,0.089,0.56,37,-2.19,0.49,"AW",47,3,"summer",0.1,928.56605515,3,25.9816,198.56605515,"summer"
"AW049",1555,500,33,24264,-0.006,-0.24,0.108,0.55,40.9,-2.56,0.33,"AW",49,3,"summer",0.1,929.2701205,3,27.5874,199.2701205,"summer"
"AW049",1555,504,20,17573,0.029,-0.206,0.105,0.67,2.2,-2,0.43,"AW",49,3,"summer",0.1,929.2701205,3,25.157,199.2701205,"summer"
"AW049",1555,505,26,16481,0.076,-0.226,0.107,0.598,23.5,-1.93,0.6,"AW",49,3,"summer",0.1,929.2701205,3,24.8532,199.2701205,"summer"
"AW051",1561,501,15,19002,0.035,-0.204,0.094,0.708,-7.4,-2.69,1.3,"AW",51,3,"summer",0.1,930.6490054,3,28.1516,200.6490054,"summer"
"AW051",1561,504,32,25295,-0.042,-0.233,0.1,0.627,14.4,-2.46,0.63,"AW",51,3,"summer",0.1,930.6490054,3,27.1534,200.6490054,"summer"
"AW051",1561,505,29,10679,0.091,-0.261,0.127,0.518,54.6,-2.32,0.83,"AW",51,3,"summer",0.1,930.6490054,3,26.5458,200.6490054,"summer"
"AW053",1567,501,18,21892,0.004,-0.286,0.101,0.592,25.5,-2.27,1.19,"AW",53,3,"summer",0.1,932.0875148,3,26.3288,202.0875148,"summer"
"AW053",1567,505,42,16668,0.058,-0.275,0.116,0.538,45.8,-2.13,0.71,"AW",53,3,"summer",0.1,932.0875148,3,25.7212,202.0875148,"summer"
"AX001",1573,501,24,21051,-0.001,-0.277,0.107,0.57,33.3,-2.24,1.18,"AX",1,3,"summer",0.1,933.4579304,3,26.1986,203.4579304,"summer"
"AX001",1573,504,38,27721,-0.051,-0.293,0.073,0.524,52,-2.3,0.57,"AX",1,3,"summer",0.1,933.4579304,3,26.459,203.4579304,"summer"
"AX003",1579,501,35,15487,0.045,-0.217,0.108,0.583,28.6,-2.78,1.06,"AX",3,3,"summer",0.1,935.0487037,3,28.5422,205.0487037,"summer"
"AX003",1579,504,42,22423,0.01,-0.242,0.116,0.603,21.8,-2.16,0.87,"AX",3,3,"summer",0.1,935.0487037,3,25.8514,205.0487037,"summer"
"AX005",1585,501,41,17472,0.042,-0.179,0.125,0.602,22.3,-2.66,1.58,"AX",5,3,"summer",0.1,936.7217614,3,28.0214,206.7217614,"summer"
"AX005",1585,505,41,19743,0.034,-0.21,0.084,0.605,21.3,-2.15,1.01,"AX",5,3,"summer",0.1,936.7217614,3,25.808,206.7217614,"summer"
"AX009",1597,501,38,25110,-0.05,-0.25,0.083,0.523,52.5,-2.06,1.44,"AX",9,3,"summer",0.1,939.68478,3,25.4174,209.68478,"summer"
"AX009",1597,505,17,24469,0.008,-0.238,0.097,0.589,26.6,-2.2,0.67,"AX",9,3,"summer",0.1,939.68478,3,26.025,209.68478,"summer"
"BA021",2263,500,5,18768,0.087,-0.218,0.086,0.637,11.5,-0.13,-0.04,"BA",21,4,"winter",0.1,1416.10949,5,17.0412,321.10949,"winter"
"BA021",2263,505,9,12496,0.099,-0.261,0.152,0.556,38.9,-0.24,-0.11,"BA",21,4,"winter",0.1,1416.10949,5,17.5186,321.10949,"winter"
