Month,Precipitation
1,4.779313307
1,3.294503479
1,4.737307713
1,4.74091738
1,4.56684212
1,3.982687485
1,6.4829543
1,5.250600795
1,4.073550249
1,4.483956518
1,5.015941348
1,3.397063084
2,4.013450746
2,3.175983264
2,4.258559807
2,4.129798687
2,4.595776345
2,3.714680113
2,5.164081638
2,4.317081731
2,3.423592122
2,3.741545475
2,4.070497246
2,2.417095966
3,2.838038129
3,2.113590081
3,2.87836839
3,2.824162098
3,3.353396931
3,2.579045965
3,3.670009703
3,2.958907897
3,2.400287159
3,2.686253912
3,2.838661429
3,1.767862192
4,2.633688378
4,1.807750674
4,2.240715001
4,2.117382211
4,3.143193887
4,2.246527432
4,2.593915095
4,2.228423464
4,2.152777312
4,2.008876274
4,2.015552775
4,1.421929838
5,2.752018429
5,1.911350526
5,2.390114777
5,2.408443013
5,5.562864617
5,2.672622423
5,3.146242176
5,2.740727062
5,2.222335059
5,2.382510714
5,2.288604848
5,1.548011211
6,2.085635439
6,0.8294295
6,1.384584373
6,1.708380645
6,5.064067408
6,1.838688226
6,2.549804648
6,2.63387367
6,2.256338031
6,2.211317938
6,2.509840729
6,1.994618657
7,1.606435381
7,1.687196328
7,2.933047735
7,1.869401982
7,5.25200644
7,2.669035073
7,2.842943429
7,2.893968159
7,3.199260647
7,1.742570795
7,2.438024426
7,2.03273028
8,3.010885022
8,2.942749893
8,5.198032432
8,3.216059553
8,5.831183167
8,3.080952284
8,4.164170357
8,3.141927172
8,3.568858886
8,2.219028713
8,2.660830971
8,2.192984673
9,4.592023662
9,2.288593689
9,4.056826467
9,3.743198805
9,3.677489609
9,2.880165994
9,4.998782859
9,3.447570757
9,2.953014686
9,3.263105918
9,3.379272495
9,2.273387136
10,4.206367687
10,2.085471206
10,3.853286093
10,3.945497295
10,3.327557514
10,3.251150704
10,5.996533181
10,5.168868438
10,4.189353157
10,5.223378679
10,6.295888452
10,4.570351832
11,4.545623541
11,3.108568245
11,4.545436206
11,4.863060464
11,3.82405672
11,3.386081953
11,6.59802861
11,5.032512057
11,4.343381943
11,4.889433598
11,5.605696561
11,4.009812477
12,4.893171508
12,3.376847506
12,4.764626327
12,4.934924073
12,4.414493695
12,4.03131363
12,7.347142557
12,5.516505986
12,4.387984774
12,5.102215335
12,5.453758012
12,3.96435752
