Month,SAT
1,16.10946045
1,14.4913269
1,14.22005615
1,18.87822876
1,10.0432373
1,16.58190308
1,19.81740723
1,18.95119629
1,18.20861206
1,20.82399902
1,20.47854004
1,19.87713013
2,16.02791748
2,14.46581421
2,13.85695801
2,18.63942871
2,12.06557617
2,16.07625732
2,19.55300293
2,18.6864563
2,17.64104614
2,20.40480957
2,19.98378906
2,19.19432983
3,16.55779419
3,15.09679565
3,14.22002563
3,18.97112427
3,15.2187439
3,16.19341431
3,19.92293701
3,19.02214966
3,17.79406128
3,20.70830688
3,20.29509888
3,19.46233521
4,17.96956787
4,16.63234863
4,15.77163086
4,20.2116333
4,18.92058716
4,17.38997803
4,21.10259399
4,20.08577881
4,18.9203125
4,21.80507813
4,21.38546143
4,20.68981323
5,20.87636719
5,20.26867065
5,19.40603027
5,22.89525757
5,23.26293335
5,20.34255371
5,23.65618286
5,22.44033203
5,21.51827393
5,24.14522705
5,23.8779541
5,23.58684692
6,24.64406738
6,25.11190186
6,24.68587646
6,26.5760437
6,28.57747803
6,24.73513184
6,27.30123291
6,26.05651245
6,25.11782227
6,27.3590332
6,27.34822998
6,27.33144531
7,28.46752319
7,29.01418457
7,28.93529663
7,29.85180054
7,31.00182495
7,29.22408447
7,29.92601929
7,29.01821289
7,28.17034302
7,29.44344482
7,29.56261597
7,29.37597046
8,30.81838379
8,31.18935547
8,30.62865601
8,31.37252197
8,31.30080566
8,30.4637085
8,31.087854
8,30.41384277
8,29.55986938
8,30.55404053
8,30.68847046
8,30.4416748
9,29.53844604
9,29.45675049
9,28.64641724
9,30.51744995
9,27.68856201
9,29.1947876
9,30.4520813
9,30.05303345
9,29.6138855
9,30.55455933
9,30.63866577
9,30.51281128
10,25.14672241
10,24.26351318
10,23.95592651
10,26.98641357
10,21.73018799
10,25.60097656
10,27.40740356
10,26.81893311
10,26.66433105
10,28.19783936
10,28.15740356
10,27.93670044
11,20.34417114
11,19.0262085
11,18.96410522
11,22.88088379
11,15.06496582
11,21.17736206
11,23.67867432
11,22.89321289
11,22.59557495
11,24.76400146
11,24.61760864
11,24.27929077
12,17.31936035
12,15.58419189
12,15.4659668
12,20.11809692
12,10.55443726
12,17.86959229
12,20.99553833
12,19.96642456
12,19.39910278
12,22.09609375
12,21.73479614
12,21.18358765
