Month,SST
1,19.58804321
1,19.87662506
1,17.8573761
1,20.2701931
1,19.35848618
1,14.91506863
1,18.78695869
1,NA
1,14.21307182
1,14.81998062
1,12.15631104
1,12.18084621
2,19.11463737
2,19.40686798
2,16.84692764
2,19.54839134
2,18.6099453
2,13.85925865
2,17.78998375
2,NA
2,13.23137474
2,13.8739624
2,11.22499561
2,11.16442204
3,19.15535545
3,19.36572647
3,16.89826965
3,19.2114563
3,18.29460144
3,14.12166882
3,17.49516487
3,NA
3,13.24028587
3,13.80475235
3,11.31241131
3,11.03837013
4,19.75092316
4,19.82571793
4,17.88609314
4,19.45901299
4,18.70981598
4,15.51779842
4,18.06209183
4,NA
4,14.38039684
4,14.8370142
4,12.70441532
4,12.01660252
5,21.81731415
5,21.81811905
5,20.90426445
5,21.16385269
5,20.94317245
5,19.09644318
5,20.37374878
5,NA
5,17.91418266
5,18.01489639
5,16.76599121
5,15.70758438
6,25.61387444
6,25.71469116
6,25.3717041
6,25.30757904
6,25.56679344
6,24.44631004
6,25.56146622
6,NA
6,23.87317848
6,23.66171646
6,23.41309929
6,22.46243095
7,27.9726181
7,27.99620628
7,27.78962708
7,28.69609261
7,28.56549835
7,27.51927376
7,29.38452148
7,NA
7,27.91826439
7,28.38585854
7,27.75018692
7,27.03768349
8,28.81255341
8,28.75013924
8,28.54244423
8,29.55727005
8,29.22474098
8,28.23836136
8,30.01823616
8,NA
8,28.74173737
8,29.32294655
8,28.46622467
8,27.92281342
9,28.51134872
9,28.49430847
9,27.98501778
9,28.61262131
9,28.25290108
9,26.86089706
9,28.3615818
9,NA
9,26.50999832
9,26.66703796
9,25.33693123
9,24.98060226
10,25.91593933
10,25.98352051
10,25.1403904
10,25.97957802
10,25.50862122
10,23.23475266
10,25.28539085
10,NA
10,22.56633186
10,22.80001259
10,20.7150898
10,20.59327698
11,22.82802963
11,23.08307648
11,22.07390404
11,23.22703171
11,22.49146652
11,19.76885986
11,22.28870964
11,NA
11,18.86219025
11,19.08757782
11,16.65042305
11,16.78879547
12,20.71840286
12,20.97126579
12,19.5446701
12,21.3463974
12,20.48829651
12,16.93816757
12,20.19382668
12,NA
12,16.02163696
12,16.4319706
12,13.80208302
12,13.91859818
