Month,SST
1,22.03610992
1,21.99384117
1,21.27146149
1,21.39729691
1,20.71223068
1,19.63465118
1,21.24255753
1,NA
1,17.95893478
1,18.44716072
1,16.40438652
1,15.73986244
2,21.42543411
2,21.30939484
2,20.49531174
2,20.83707237
2,20.21965981
2,18.86154366
2,20.36380577
2,NA
2,17.15018654
2,17.64173889
2,15.7220335
2,14.9159584
3,21.40722275
3,21.23077202
3,20.45899963
3,20.77381897
3,20.13367081
3,18.78143692
3,20.05759811
3,NA
3,17.00627708
3,17.4629097
3,15.68921852
3,14.78112984
4,22.30529976
4,22.09220695
4,21.57463264
4,21.59183121
4,20.90942383
4,19.88131714
4,20.83263397
4,NA
4,18.12670326
4,18.50545311
4,17.15787697
4,16.1065464
5,24.60011292
5,24.57278252
5,24.50923538
5,24.06443787
5,23.28024864
5,22.71437454
5,23.4257431
5,NA
5,21.35343742
5,21.49834633
5,21.02494431
5,19.87493896
6,27.86495209
6,28.18703079
6,28.35824394
6,27.81016922
6,27.02142334
6,26.44851303
6,27.40009117
6,NA
6,25.93234444
6,25.71732712
6,26.15705109
6,25.3772316
7,29.77347183
7,30.19064903
7,30.18767929
7,30.30042267
7,29.74032593
7,29.16522026
7,30.65507317
7,NA
7,29.9227314
7,29.45088768
7,29.74504662
7,29.32541847
8,30.897789
8,31.29262352
8,31.16909981
8,31.51559639
8,31.01046753
8,30.48929214
8,32.23585129
8,NA
8,31.27178764
8,31.73287201
8,31.7478714
8,31.06159019
9,31.0783577
9,31.35188484
9,31.26039505
9,31.1187439
9,30.69592476
9,30.46176338
9,31.61034012
9,NA
9,30.0041256
9,30.49078369
9,30.02602959
9,29.3131752
10,28.96968079
10,29.13521576
10,28.74309349
10,28.35962868
10,27.66542244
10,27.4730835
10,28.51918221
10,NA
10,26.3584919
10,26.58662415
10,25.2365303
10,24.78218651
11,25.86265755
11,26.05911827
11,25.53948212
11,25.03195763
11,24.38434982
11,23.9911232
11,25.111866
11,NA
11,22.56238747
11,22.69527054
11,20.88890648
11,20.45942688
12,23.37273407
12,23.42860985
12,22.77177238
12,22.62238884
12,21.88984489
12,21.14751244
12,22.70390129
12,NA
12,19.57051659
12,20.00983429
12,17.93718719
12,17.37670898
