Month,SSS
1,43.90651532
1,44.14595369
1,44.29857418
1,44.07860603
1,44.19522624
1,43.88592564
1,44.32870712
1,NA
1,42.79485749
1,43.94705206
1,43.22238997
1,41.98373932
2,43.95944983
2,44.17021371
2,44.30881314
2,44.10837762
2,44.21321474
2,43.90559703
2,44.30153392
2,NA
2,42.84201641
2,43.95510241
2,43.26089364
2,42.03568291
3,43.9690825
3,44.18154791
3,44.30943247
3,44.12967511
3,44.22666118
3,43.89466144
3,44.2885131
3,NA
3,42.82316085
3,43.95650964
3,43.22411757
3,41.99211843
4,43.94778967
4,44.17654112
4,44.3065938
4,44.1171721
4,44.23167542
4,43.84446129
4,44.29365121
4,NA
4,42.71061284
4,43.91732145
4,43.08690768
4,41.8415706
5,43.93493462
5,44.19129606
5,44.34703927
5,44.11088102
5,44.22653917
5,43.83092545
5,44.30307619
5,NA
5,42.62645435
5,43.82990751
5,42.97786471
5,41.72793994
6,43.9788679
6,44.26425029
6,44.4363112
6,44.15861502
6,44.25998855
6,43.86121392
6,44.33650974
6,NA
6,42.62629416
6,43.77040718
6,42.9694828
6,41.75450545
7,44.0116784
7,44.30814259
7,44.48674232
7,44.23598744
7,44.32455994
7,43.88517499
7,44.41844285
7,NA
7,42.67755741
7,43.85712076
7,43.06467794
7,41.87687472
8,44.06183291
8,44.35200974
8,44.51076113
8,44.31604113
8,44.40432679
8,43.90013389
8,44.50151216
8,NA
8,42.69699924
8,43.97160172
8,43.17217492
8,41.94103213
9,44.04797483
9,44.34319291
9,44.49677173
9,44.29341093
9,44.39266477
9,43.89683235
9,44.50230006
9,NA
9,42.63396267
9,43.93130619
9,43.16473365
9,41.83170138
10,43.96094553
10,44.26079694
10,44.39521007
10,44.18592606
10,44.30096209
10,43.87342077
10,44.45288874
10,NA
10,42.66114797
10,43.90199002
10,43.12028628
10,41.79532066
11,43.90405104
11,44.201793
11,44.34219081
11,44.10932478
11,44.2352666
11,43.8611003
11,44.40789562
11,NA
11,42.67418463
11,43.943188
11,43.12690239
11,41.81368914
12,43.89116433
12,44.16216429
12,44.31213517
12,44.07898322
12,44.20700654
12,43.87608714
12,44.36736446
12,NA
12,42.74033647
12,43.95503163
12,43.16638954
12,41.89816568
