"Month","Mean","SD","SE","CI_lower","CI_upper"
1,16.2795422363281,3.46377895788256,0.692755791576513,14.9217408848382,17.6373435878181
2,17.0115600585938,3.10594374095063,0.621188748190125,15.7940301121411,18.2290900050464
3,18.6686889648438,2.78918731992114,0.557837463984228,17.5753275354347,19.7620503942529
4,21.548896484375,2.542711690742,0.508542338148401,20.5521535016042,22.5456394671459
5,27.1224499511719,2.46488386795849,0.492976773591699,26.1562154749322,28.0886844274116
6,32.0811853027344,2.73331005461501,0.546662010923002,31.0097277613253,33.1526428441435
7,35.76927734375,2.85535749162251,0.571071498324501,34.649977207034,36.888577480466
8,35.7862377929688,2.64631499729807,0.529262999459614,34.7488823140279,36.8235932719096
9,32.0287878417969,2.52596201318599,0.505192402637198,31.038610732628,33.0189649509658
10,25.7289660644531,3.00791784054661,0.601583568109323,24.5498622709589,26.9080698579474
11,20.4256176757813,3.58824735347782,0.717649470695563,19.019024713218,21.8322106383446
12,17.1736975097656,3.699330768834,0.739866153766801,15.7235598483827,18.6238351711486
