SampName,Specimen,SampNum,Time of year,Increment number,Estimated date,Estimated day of year,Final_d13Ccarb,d13C_SD,Final_d18Ocarb_VPDB,d18O_SD,D47rfac,D47,D47_SD
M5_115,M5,115,Apr/Oct,2,01/10/2005,273,0.24,0.030214895,-3.73,0.059240652,0.681,0.619,0.039056165
M5_115,M5,115,Apr/Oct,2,01/10/2005,273,-0.01,0.030214895,-4.32,0.059240652,0.644,0.582,0.039056165
M5_115,M5,115,Apr/Oct,2,01/10/2005,273,0.02,0.030214895,-4.24,0.059240652,0.658,0.596,0.039056165
M5_116,M5,116,Apr/Oct,5,19/09/2005,261.83,-0.12,0.030214895,-4.56,0.059240652,0.648,0.586,0.039056165
M5_116,M5,116,Apr/Oct,5,19/09/2005,261.83,-0.13,0.030214895,-4.61,0.059240652,0.631,0.569,0.039056165
M5_116,M5,116,Apr/Oct,5,19/09/2005,261.83,-0.09,0.030214895,-4.55,0.059240652,0.648,0.586,0.039056165
M5_117,M5,117,Apr/Oct,8,08/09/2005,250.66,-0.04,0.030214895,-4.63,0.059240652,0.639,0.577,0.039056165
M5_117,M5,117,Apr/Oct,8,08/09/2005,250.66,-0.08,0.030214895,-4.73,0.059240652,0.665,0.603,0.039056165
M5_117,M5,117,Apr/Oct,8,08/09/2005,250.66,-0.03,0.030214895,-4.56,0.059240652,0.636,0.574,0.039056165
M5_118,M5,118,Apr/Oct,11,28/08/2005,239.49,-0.03,0.030214895,-4.09,0.059240652,0.677,0.615,0.039056165
M5_118,M5,118,Apr/Oct,11,28/08/2005,239.49,-0.07,0.030214895,-4.21,0.059240652,0.679,0.617,0.039056165
M5_118,M5,118,Apr/Oct,11,28/08/2005,239.49,-0.05,0.030214895,-4.28,0.059240652,0.641,0.579,0.039056165
M5_119,M5,119,Apr/Oct,14,17/08/2005,228.32,0.13,0.030214895,-3.87,0.059240652,0.638,0.576,0.039056165
M5_119,M5,119,Apr/Oct,14,17/08/2005,228.32,0.12,0.030214895,-3.81,0.059240652,0.583,0.521,0.039056165
M5_119,M5,119,Apr/Oct,14,17/08/2005,228.32,0.11,0.030214895,-3.88,0.059240652,0.625,0.563,0.039056165
M5_120,M5,120,Apr/Oct,16,09/08/2005,220.87,0.2,0.030214895,-3.94,0.059240652,0.672,0.61,0.039056165
M5_120,M5,120,Apr/Oct,16,09/08/2005,220.87,0.17,0.030214895,-4.06,0.059240652,0.681,0.619,0.039056165
M5_120,M5,120,Apr/Oct,16,09/08/2005,220.87,0.17,0.030214895,-4.07,0.059240652,0.622,0.56,0.039056165
M5_121,M5,121,Apr/Oct,19,29/07/2005,209.7,0.36,0.030214895,-3.76,0.059240652,0.717,0.655,0.039056165
M5_121,M5,121,Apr/Oct,19,29/07/2005,209.7,0.31,0.030214895,-3.8,0.059240652,0.647,0.585,0.039056165
M5_122,M5,122,Apr/Oct,22,18/07/2005,198.53,0.36,0.030214895,-3.7,0.059240652,0.644,0.582,0.039056165
M5_122,M5,122,Apr/Oct,22,18/07/2005,198.53,0.38,0.030214895,-3.69,0.059240652,0.658,0.596,0.039056165
M5_122,M5,122,Apr/Oct,22,18/07/2005,198.53,0.39,0.030214895,-3.79,0.059240652,0.638,0.576,0.039056165
M5_123,M5,123,Apr/Oct,24,11/07/2005,191.09,0.43,0.030214895,-3.48,0.059240652,0.64,0.578,0.039056165
M5_123,M5,123,Apr/Oct,24,11/07/2005,191.09,0.42,0.030214895,-3.53,0.059240652,0.642,0.58,0.039056165
M5_123,M5,123,Apr/Oct,24,11/07/2005,191.09,0.47,0.030214895,-3.58,0.059240652,0.665,0.603,0.039056165
M5_124,M5,124,Apr/Oct,27,29/06/2005,179.91,0.41,0.030214895,-3.48,0.059240652,0.646,0.584,0.039056165
M5_124,M5,124,Apr/Oct,27,29/06/2005,179.91,0.4,0.030214895,-3.6,0.059240652,0.699,0.637,0.039056165
M5_124,M5,124,Apr/Oct,27,29/06/2005,179.91,0.39,0.030214895,-3.57,0.059240652,0.673,0.611,0.039056165
M5_125,M5,125,Apr/Oct,29,22/06/2005,172.47,0.28,0.030214895,-3.51,0.059240652,0.648,0.586,0.039056165
M5_125,M5,125,Apr/Oct,29,22/06/2005,172.47,0.29,0.030214895,-3.49,0.059240652,0.628,0.566,0.039056165
M5_126,M5,126,Apr/Oct,32,11/06/2005,161.3,0.47,0.030214895,-3.5,0.059240652,0.626,0.564,0.039056165
M5_126,M5,126,Apr/Oct,32,11/06/2005,161.3,0.45,0.030214895,-3.55,0.059240652,0.749,0.687,0.039056165
