lat,lon,tas,source_file,month
7.5,-81.5,27.583176,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
7.5,-80.5,27.275017,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
7.5,-79.5,27.00147,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
7.5,-78.5,26.625885,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
7.5,-77.5,26.058582,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
8.5,-81.5,26.702677,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
8.5,-80.5,27.015781,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
8.5,-79.5,27.122576,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
8.5,-78.5,27.155544,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
8.5,-77.5,27.271685,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
9.5,-81.5,26.075775,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
9.5,-80.5,26.601084,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
9.5,-79.5,26.872776,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
9.5,-78.5,27.14607,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
9.5,-77.5,27.5258,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - April (35 models),April
7.5,-81.5,26.552208,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
7.5,-80.5,26.536266,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
7.5,-79.5,26.600628,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
7.5,-78.5,26.183826,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
7.5,-77.5,25.18308,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
8.5,-81.5,25.77367,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
8.5,-80.5,26.21248,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
8.5,-79.5,26.610504,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
8.5,-78.5,26.647757,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
8.5,-77.5,26.511545,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
9.5,-81.5,26.43176,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
9.5,-80.5,26.891897,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
9.5,-79.5,27.153349,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
9.5,-78.5,27.45323,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
9.5,-77.5,27.785849,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - August (35 models),August
7.5,-81.5,26.55842,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
7.5,-80.5,26.511211,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
7.5,-79.5,26.552113,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
7.5,-78.5,26.066435,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
7.5,-77.5,24.992147,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
8.5,-81.5,25.448519,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
8.5,-80.5,25.979254,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
8.5,-79.5,26.390799,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
8.5,-78.5,26.385641,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
8.5,-77.5,26.233961,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
9.5,-81.5,25.960672,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
9.5,-80.5,26.504639,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
9.5,-79.5,26.735752,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
9.5,-78.5,26.972178,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
9.5,-77.5,27.331198,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - December (35 models),December
7.5,-81.5,26.835735,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
7.5,-80.5,26.583742,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
7.5,-79.5,26.39934,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
7.5,-78.5,26.16277,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
7.5,-77.5,25.75928,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
8.5,-81.5,25.783669,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
8.5,-80.5,26.13864,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
8.5,-79.5,26.311855,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
8.5,-78.5,26.45918,CMIP6 - Mean temperature (T)  deg C - 1995-2014   - February (35 models),February
