date,longitude,latitude,salinity
20100106,-80,7,32.00093015
20100107,-80,7,32.01057371
20100108,-80,7,32.03399022
20100109,-80,7,32.05721347
20100110,-80,7,32.0791804
20100111,-80,7,32.09863027
20100112,-80,7,32.09268316
20100113,-80,7,32.13100306
20100114,-80,7,32.16179911
20100115,-80,7,32.1978658
20100116,-80,7,32.24010022
20100117,-80,7,32.28599993
20100118,-80,7,32.31478945
20100119,-80,7,32.36050987
20100120,-80,7,32.41081683
20100121,-80,7,32.45847321
20100122,-80,7,32.51114337
20100123,-80,7,32.57258415
20100124,-80,7,32.64468638
20100125,-80,7,32.73319244
20100126,-80,7,32.80676015
20100127,-80,7,32.85654068
20100128,-80,7,32.87849426
20100129,-80,7,32.88444392
20100130,-80,7,32.87465922
20100131,-80,7,32.86531321
20100201,-80,7,32.86094284
20100202,-80,7,32.82586288
20100203,-80,7,32.8455836
20100204,-80,7,32.91632716
20100205,-80,7,32.99940236
20100206,-80,7,33.10599136
20100207,-80,7,33.23226039
20100208,-80,7,33.35294596
20100209,-80,7,33.47085317
20100210,-80,7,33.58944702
20100211,-80,7,33.70806758
20100212,-80,7,33.82496389
20100213,-80,7,33.89963277
20100214,-80,7,33.92878723
20100215,-80,7,33.90593974
20100216,-80,7,33.84772237
20100217,-80,7,33.77582423
20100218,-80,7,33.66083399
20100219,-80,7,33.55223083
20100220,-80,7,33.45362345
20100221,-80,7,33.44962692
20100222,-80,7,33.51920573
20100223,-80,7,33.62545649
20100224,-80,7,33.75117366
20100225,-80,7,33.90940984
20100226,-80,7,34.02459971
20100227,-80,7,34.10064697
20100228,-80,7,34.12071737
20100301,-80,7,34.13497416
20100302,-80,7,34.07149378
20100303,-80,7,33.9683164
20100304,-80,7,33.83547592
20100305,-80,7,33.69458771
20100306,-80,7,33.57980728
20100307,-80,7,33.50194422
20100308,-80,7,33.44361369
20100309,-80,7,33.42812856
20100310,-80,7,33.4580307
20100311,-80,7,33.52890142
20100312,-80,7,33.66460292
