date,longitude,latitude,salinity
20100106,-81.5,7,30.76832962
20100106,-80,7,32.00093015
20100106,-79.5,7,32.13883591
20100106,-79,7,30.85385799
20100106,-78.5,7,30.62574244
20100106,-78,7,31.81274986
20100106,-79.5,7.5,31.93083
20100106,-79,7.5,31.61021042
20100106,-78.5,7.5,30.88897991
20100106,-80,8,33.96696854
20100106,-79.5,8,33.70643425
20100106,-79,8,32.76684952
20100106,-81.5,9,35.10290146
20100106,-77,9,35.73040962
20100106,-82,9.5,34.81158066
20100106,-81.5,9.5,34.98119609
20100106,-81,9.5,35.21214422
20100106,-80.5,9.5,35.53752899
20100106,-77.5,9.5,35.67264684
20100106,-77,9.5,35.68141556
20100106,-82,10,35.03108788
20100106,-81.5,10,35.28939533
20100106,-81,10,35.56021023
20100106,-80.5,10,35.60448265
20100106,-80,10,35.5209198
20100106,-79,10,35.85952377
20100106,-78.5,10,35.93811607
20100106,-78,10,35.87454319
20100106,-77.5,10,35.90206051
20100106,-77,10,36.18745804
20100107,-81.5,7,30.77617073
20100107,-80,7,32.01057371
20100107,-79.5,7,32.15607071
20100107,-79,7,30.85362053
20100107,-78.5,7,30.66822243
20100107,-78,7,31.85438919
20100107,-79.5,7.5,31.94211483
20100107,-79,7.5,31.64115047
20100107,-78.5,7.5,30.93677521
20100107,-80,8,33.98686981
20100107,-79.5,8,33.7506752
20100107,-79,8,32.80135918
20100107,-81.5,9,35.09366989
20100107,-77,9,35.75407982
20100107,-82,9.5,34.78477859
20100107,-81.5,9.5,34.96659342
20100107,-81,9.5,35.20753098
20100107,-80.5,9.5,35.53395844
20100107,-77.5,9.5,35.68264008
20100107,-77,9.5,35.69656754
20100107,-82,10,35.00891781
20100107,-81.5,10,35.27959538
20100107,-81,10,35.56221581
20100107,-80.5,10,35.60763264
20100107,-80,10,35.51741664
20100107,-79,10,35.85606003
20100107,-78.5,10,35.95286942
20100107,-78,10,35.89008713
20100107,-77.5,10,35.91913509
20100107,-77,10,36.21580029
20100108,-81.5,7,30.78994942
20100108,-80,7,32.03399022
20100108,-79.5,7,32.19376469
20100108,-79,7,30.88175774
20100108,-78.5,7,30.72203541
20100108,-78,7,31.96796989
20100108,-79.5,7.5,31.97507477
20100108,-79,7.5,31.6826148
20100108,-78.5,7.5,31.00868034
20100108,-80,8,34.01683044
20100108,-79.5,8,33.798769
20100108,-79,8,32.83929062
20100108,-81.5,9,35.0851593
20100108,-77,9,35.77425957
20100108,-82,9.5,34.7663002
20100108,-81.5,9.5,34.95099386
20100108,-81,9.5,35.20224635
20100108,-80.5,9.5,35.52822113
20100108,-77.5,9.5,35.71111552
20100108,-77,9.5,35.71631241
20100108,-82,10,34.98661995
20100108,-81.5,10,35.26782513
20100108,-81,10,35.56373024
20100108,-80.5,10,35.60708046
20100108,-80,10,35.50991313
20100108,-79,10,35.85384941
20100108,-78.5,10,35.96568108
20100108,-78,10,35.90736294
20100108,-77.5,10,35.93868256
20100108,-77,10,36.25472736
20100109,-81.5,7,30.80772018
20100109,-80,7,32.05721347
20100109,-79.5,7,32.23641968
20100109,-79,7,30.91239977
20100109,-78.5,7,30.77157259
20100109,-78,7,32.03234863
20100109,-79.5,7.5,32.01537418
20100109,-79,7.5,31.73324728
20100109,-78.5,7.5,31.0769558
20100109,-80,8,34.05530167
20100109,-79.5,8,33.85698509
20100109,-79,8,32.88492584
20100109,-81.5,9,35.0760994
20100109,-77,9,35.80433083
20100109,-82,9.5,34.74900055
20100109,-81.5,9.5,34.93627294
20100109,-81,9.5,35.19684601
20100109,-80.5,9.5,35.52323914
20100109,-77.5,9.5,35.72506968
20100109,-77,9.5,35.73284245
20100109,-82,10,34.96452618
20100109,-81.5,10,35.25577545
20100109,-81,10,35.5655632
20100109,-80.5,10,35.60776711
20100109,-80,10,35.50469335
20100109,-79,10,35.85301018
20100109,-78.5,10,35.98344994
20100109,-78,10,35.9263649
20100109,-77.5,10,35.95885181
20100109,-77,10,36.2864027
20100110,-81.5,7,30.8298893
20100110,-80,7,32.0791804
20100110,-79.5,7,32.28169441
20100110,-79,7,30.94207048
20100110,-78.5,7,30.81658745
20100110,-78,7,32.07825089
20100110,-79.5,7.5,32.05990601
20100110,-79,7.5,31.79162502
20100110,-78.5,7.5,31.14598465
20100110,-80,8,34.1007309
20100110,-79.5,8,33.92427063
20100110,-79,8,32.93829536
20100110,-81.5,9,35.06599045
20100110,-77,9,35.84235001
20100110,-82,9.5,34.73289871
20100110,-81.5,9.5,34.92329025
20100110,-81,9.5,35.19120026
20100110,-80.5,9.5,35.51897049
20100110,-77.5,9.5,35.73762385
20100110,-77,9.5,35.74875546
20100110,-82,10,34.94340229
20100110,-81.5,10,35.24419689
20100110,-81,10,35.56753445
20100110,-80.5,10,35.60987473
20100110,-80,10,35.50188319
20100110,-79,10,35.85288048
20100110,-78.5,10,36.00504875
20100110,-78,10,35.94669533
20100110,-77.5,10,35.98134995
20100110,-77,10,36.31358719
20100111,-81.5,7,30.8566494
20100111,-80,7,32.09863027
20100111,-79.5,7,32.32603455
20100111,-79,7,30.96672964
20100111,-78.5,7,30.85028744
20100111,-78,7,32.09294128
20100111,-79.5,7.5,32.10411453
20100111,-79,7.5,31.85477018
20100111,-78.5,7.5,31.20684528
20100111,-80,8,34.14939117
20100111,-79.5,8,33.99731064
20100111,-79,8,32.9980545
20100111,-81.5,9,35.05445099
20100111,-77,9,35.89042664
20100111,-82,9.5,34.7183609
20100111,-81.5,9.5,34.91297531
20100111,-81,9.5,35.18526713
20100111,-80.5,9.5,35.51502991
20100111,-77.5,9.5,35.74548467
20100111,-77,9.5,35.76311207
20100111,-82,10,34.92417526
20100111,-81.5,10,35.23402214
20100111,-81,10,35.56934452
20100111,-80.5,10,35.61333752
20100111,-80,10,35.50121053
20100111,-79,10,35.85246468
20100111,-78.5,10,36.02814484
20100111,-78,10,35.96536732
20100111,-77.5,10,36.00362206
20100111,-77,10,36.33138943
20100112,-81.5,7,30.89100075
20100112,-80,7,32.09268316
20100112,-79.5,7,32.35725403
20100112,-79,7,30.96914768
20100112,-78.5,7,30.90281725
20100112,-78,7,32.0669899
20100112,-79.5,7.5,32.15339088
20100112,-79,7.5,31.92074203
20100112,-78.5,7.5,31.24773502
20100112,-80,8,34.19572067
20100112,-79.5,8,34.07089043
20100112,-79,8,33.06049919
20100112,-81.5,9,35.03973007
20100112,-77,9,35.94902992
20100112,-82,9.5,34.70561981
20100112,-81.5,9.5,34.90166346
20100112,-81,9.5,35.17798996
20100112,-80.5,9.5,35.50793076
20100112,-77.5,9.5,35.74515152
20100112,-77,9.5,35.77499008
20100112,-82,10,34.90684509
20100112,-81.5,10,35.22260857
20100112,-81,10,35.57132053
20100112,-80.5,10,35.61901951
20100112,-80,10,35.49701691
20100112,-79,10,35.845541
20100112,-78.5,10,36.04748154
20100112,-78,10,35.97885036
20100112,-77.5,10,36.02235508
20100112,-77,10,36.33530903
20100113,-81.5,7,30.92550087
20100113,-80,7,32.13100306
20100113,-79.5,7,32.39818954
20100113,-79,7,30.98097944
20100113,-78.5,7,30.90139246
20100113,-78,7,31.99020004
20100113,-79.5,7.5,32.18192482
20100113,-79,7.5,31.99348497
20100113,-78.5,7.5,31.27553558
20100113,-80,8,34.23128891
20100113,-79.5,8,34.14099503
20100113,-79,8,33.14019966
20100113,-81.5,9,35.02404022
20100113,-77,9,36.02663422
20100113,-82,9.5,34.69670105
20100113,-81.5,9.5,34.89499664
20100113,-81,9.5,35.17045339
20100113,-80.5,9.5,35.49959183
20100113,-77.5,9.5,35.73654429
20100113,-77,9.5,35.78073025
20100113,-82,10,34.89313984
20100113,-81.5,10,35.21514702
20100113,-81,10,35.57237053
20100113,-80.5,10,35.62510967
20100113,-80,10,35.49388758
20100113,-79,10,35.83269501
20100113,-78.5,10,36.05581093
20100113,-78,10,35.98437214
20100113,-77.5,10,36.0333519
20100113,-77,10,36.32122517
20100114,-81.5,7,30.96244049
20100114,-80,7,32.16179911
20100114,-79.5,7,32.41908073
20100114,-79,7,30.98387241
20100114,-78.5,7,30.86789227
20100114,-78,7,31.88281059
20100114,-79.5,7.5,32.18386841
20100114,-79,7.5,32.03743219
20100114,-78.5,7.5,31.26809502
20100114,-80,8,34.24882889
20100114,-79.5,8,34.18948364
20100114,-79,8,33.19176483
20100114,-81.5,9,35.00738144
20100114,-77,9,36.09148026
20100114,-82,9.5,34.69279861
20100114,-81.5,9.5,34.89063263
20100114,-81,9.5,35.1628329
20100114,-80.5,9.5,35.48752975
20100114,-77.5,9.5,35.71100362
20100114,-77,9.5,35.78835964
20100114,-82,10,34.8829546
20100114,-81.5,10,35.20996952
20100114,-81,10,35.57269478
20100114,-80.5,10,35.6309824
20100114,-80,10,35.48784637
20100114,-79,10,35.81235123
20100114,-78.5,10,36.04751396
20100114,-78,10,35.97711182
20100114,-77.5,10,36.03535175
20100114,-77,10,36.29420185
20100115,-81.5,7,30.99597931
20100115,-80,7,32.1978658
20100115,-79.5,7,32.42843437
20100115,-79,7,30.99365282
20100115,-78.5,7,30.81465483
20100115,-78,7,31.75295067
20100115,-79.5,7.5,32.16604424
20100115,-79,7.5,32.06579018
20100115,-78.5,7.5,31.24604511
20100115,-80,8,34.24391174
20100115,-79.5,8,34.22281456
20100115,-79,8,33.22912407
20100115,-81.5,9,34.99388885
20100115,-77,9,36.15641594
20100115,-82,9.5,34.69762039
20100115,-81.5,9.5,34.89267985
20100115,-81,9.5,35.15833028
20100115,-80.5,9.5,35.47203064
20100115,-77.5,9.5,35.67393621
20100115,-77,9.5,35.80294037
20100115,-82,10,34.87929249
20100115,-81.5,10,35.21246815
20100115,-81,10,35.57079506
20100115,-80.5,10,35.63024235
20100115,-80,10,35.46992366
20100115,-79,10,35.78562546
20100115,-78.5,10,36.02213478
20100115,-78,10,35.95457077
20100115,-77.5,10,36.02539063
20100115,-77,10,36.26038551
20100116,-81.5,7,31.03524017
20100116,-80,7,32.24010022
20100116,-79.5,7,32.42444038
20100116,-79,7,31.00209522
20100116,-78.5,7,30.74229002
20100116,-78,7,31.62084961
20100116,-79.5,7.5,32.11760902
20100116,-79,7.5,32.06460285
20100116,-78.5,7.5,31.1928196
20100116,-80,8,34.21730042
20100116,-79.5,8,34.22971916
20100116,-79,8,33.23945999
20100116,-81.5,9,34.98188019
20100116,-77,9,36.22005081
20100116,-82,9.5,34.7101593
20100116,-81.5,9.5,34.8956159
20100116,-81,9.5,35.15573247
20100116,-80.5,9.5,35.45212936
20100116,-77.5,9.5,35.63417308
20100116,-77,9.5,35.82632446
20100116,-82,10,34.87879562
20100116,-81.5,10,35.21578979
20100116,-81,10,35.56886768
20100116,-80.5,10,35.6271925
20100116,-80,10,35.45000331
20100116,-79,10,35.75127983
20100116,-78.5,10,35.97657967
20100116,-78,10,35.91557407
20100116,-77.5,10,36.00131321
20100116,-77,10,36.22828007
20100117,-81.5,7,31.07946968
20100117,-80,7,32.28599993
20100117,-79.5,7,32.41023064
20100117,-79,7,31.01481485
20100117,-78.5,7,30.66134977
20100117,-78,7,31.51115036
20100117,-79.5,7.5,32.0489006
20100117,-79,7.5,32.03686762
20100117,-78.5,7.5,31.11838055
20100117,-80,8,34.17111969
20100117,-79.5,8,34.21234894
20100117,-79,8,33.22139931
20100117,-81.5,9,34.97444916
20100117,-77,9,36.27480888
20100117,-82,9.5,34.73225021
20100117,-81.5,9.5,34.90162023
20100117,-81,9.5,35.15716934
20100117,-80.5,9.5,35.42893982
20100117,-77.5,9.5,35.59522629
20100117,-77,9.5,35.86082268
20100117,-82,10,34.8824749
20100117,-81.5,10,35.22259521
20100117,-81,10,35.56644535
20100117,-80.5,10,35.61850739
20100117,-80,10,35.42420324
20100117,-79,10,35.71260071
20100117,-78.5,10,35.91341019
20100117,-78,10,35.86298752
20100117,-77.5,10,35.96618748
20100117,-77,10,36.20405769
20100118,-81.5,7,31.13253021
20100118,-80,7,32.31478945
20100118,-79.5,7,32.37018013
20100118,-79,7,31.00061798
20100118,-78.5,7,30.54427004
20100118,-78,7,31.40699005
20100118,-79.5,7.5,31.95822048
20100118,-79,7.5,31.9846797
20100118,-78.5,7.5,30.97578526
20100118,-80,8,34.10874939
20100118,-79.5,8,34.17414474
20100118,-79,8,33.17487526
20100118,-81.5,9,34.9729805
20100118,-77,9,36.32020378
20100118,-82,9.5,34.76382828
20100118,-81.5,9.5,34.91111247
20100118,-81,9.5,35.16331355
20100118,-80.5,9.5,35.40343094
20100118,-77.5,9.5,35.56047694
20100118,-77,9.5,35.9073801
20100118,-82,10,34.89003563
20100118,-81.5,10,35.23286724
20100118,-81,10,35.56326485
20100118,-80.5,10,35.60281658
20100118,-80,10,35.39361954
20100118,-79,10,35.67284012
20100118,-78.5,10,35.83889008
20100118,-78,10,35.79588127
20100118,-77.5,10,35.91884136
20100118,-77,10,36.19400024
20100119,-81.5,7,31.19422913
20100119,-80,7,32.36050987
20100119,-79.5,7,32.35053062
20100119,-79,7,31.01346731
20100119,-78.5,7,30.46307755
20100119,-78,7,31.37815094
20100119,-79.5,7.5,31.87500572
20100119,-79,7.5,31.91436529
20100119,-78.5,7.5,30.85402966
