Year,ja, fb, mr, ar, my, jn, jl, ag, sp, ot, nv, dc
2010,,,28.1,28.1,28.3,27.2,26.7,27,26.9,26.4,25.8,25
2011,26.3,26.6,26.4,26.7,27.4,27.2,26.8,27,26.9,26.4,25.8,26.2
2012,26.8,26.5,26.7,26.7,27.3,27.9,27.6,27.4,27.5,27.1,26.5,27.1
2013,27.6,27,27.4,27.9,27.6,27.5,27.4,27.1,27.4,27,27.2,27.5
2014,27.5,27.3,27.6,28,27.7,27.7,28.2,27.3,27.1,27.2,27,27.1
2015,27.8,27.5,27.2,27.9,28.1,28.4,28.1,28,27.9,27.8,27.6,28.7
2016,28,28,27.8,27.5,27.5,27.2,26.8,27.3,26.9,26.7,26.1,26.9
2017,27,26.4,27.1,27.4,27.6,27.4,27.2,27.1,27.4,27.2,26.4,26.8
2018,26.6,26.6,27.1,26.8,27.3,27.1,27.3,27.1,26.8,26.9,26.9,27.4
2019,26.8,26.8,27.1,27.4,27.6,27.7,27.2,27.3,27.3,26.9,27,27.4
2020,27.5,27.5,27.2,27.6,27.9,27.3,27,27.1,27,27.2,26.6,26.9
2021,27,27,26.6,27.1,27.2,26.8,27.1,26.8,26.8,26.9,26.2,27
2022,26.9,27.1,26.6,26.9,27.2,26.7,26.8,26.8,27.1,26.7,26.4,27.1
2023,26.8,27.1,26.6,27.2,28,27.9,27.8,27.9,27.9,27.8,27.5,28.1
2024,28.2,27.6,27.9,27.8,28.1,27.7,27.6,27.5,27.5,27.3,26.7,27.2
2025,27.4,27.4,,,,,,,,,,
