Year,ja, fb, mr, ar, my, jn, jl, ag, sp, ot, nv, dc
2001,,,,,,,,,,,,27.11653442
2002,26.97247984,23.46636161,21.43012769,22.56002083,27.21141129,28.23810417,28.12167339,27.84778898,27.89338889,27.89626344,27.68524306,27.54337233
2003,24.11640457,21.89953869,24.38868952,25.52311806,28.19497984,27.98329861,27.90004032,27.81488162,28.28941667,27.8662164,28.03948611,27.64802419
2004,26.31859543,23.6835704,21.68045699,24.57938889,27.7062164,28.17440278,27.91527554,28.20106183,28.24247222,28.06463038,28.14676389,27.74979167
2005,26.47293683,21.4306994,25.49639113,27.27201389,28.98067876,29.0246875,28.83143817,28.54381048,28.46897917,27.99165995,27.75578431,27.59154762
2006,27.09982527,22.86724702,20.79919355,23.24416393,,,,,,28.43064246,28.00138889,27.92072581
2007,26.38588038,21.97008185,22.13759409,26.28919444,27.66742608,28.20316667,27.9746371,27.93397177,28.06977083,27.41354839,26.96064673,27.03377016
2008,25.79725806,24.50814655,23.92805108,25.36175,26.95200941,28.13311111,28.06426075,28.30482503,28.15545139,28.14770833,27.43728472,26.93252016
2009,25.58280914,22.38055804,18.87258065,24.31424306,27.14219086,28.16711806,28.39272727,,,,,
2010,,,,,,,28.08182161,28.0512836,27.80754167,27.3528293,26.93255556,25.33510753
2011,26.19870968,24.44863095,22.71232527,25.85936806,27.83170699,28.36311806,28.3873266,28.50981855,28.62186111,28.04125672,27.47977778,27.10359543
2012,25.59487231,22.72194684,20.32511425,26.65384028,27.8206922,28.7825,28.48827285,28.51372984,28.535625,28.19946237,28.2198366,
