lat,lon,pr,source_file,month
7.5,-81.5,1.6893849,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-80.5,1.7792162,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-79.5,2.0017796,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-78.5,2.5001516,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-77.5,3.3865905,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-81.5,1.481881,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-80.5,1.6152004,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-79.5,1.5177844,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-78.5,1.6327132,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
8.5,-77.5,2.0096598,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-81.5,1.9088061,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-80.5,1.7382085,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-79.5,1.621171,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-78.5,1.4655056,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
9.5,-77.5,1.3405677,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - April (34 models),April
7.5,-81.5,12.4230795,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-80.5,12.493553,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-79.5,12.659093,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-78.5,13.219075,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-77.5,13.334969,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-81.5,12.620555,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-80.5,12.535278,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-79.5,11.816721,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-78.5,11.314547,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
8.5,-77.5,11.387798,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-81.5,12.623151,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-80.5,12.309563,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-79.5,11.049826,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-78.5,9.88117,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
9.5,-77.5,9.052216,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - August (34 models),August
7.5,-81.5,2.5905406,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-80.5,2.8812933,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-79.5,3.5620332,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-78.5,4.115735,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
7.5,-77.5,4.0334053,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
8.5,-81.5,2.572438,CMIP6 - Total precipitation (PR)  mm_day - 1995-2014   - December (34 models),December
