Final_d18O,Final_d13C,Specimen,Species,D47_corr,D47_sd_ext,d18O_sd_ext,d13C_sd_ext,ShellChron_DOY,ShellChron_DOY_err,Month,T_mean,T_sd
1.82,1.2,SG107,Arctica islandica,0.55743403,0.056342426,0.082083598,0.057852486,101.7735288,,4,39.69416714,21.99300807
2.13,2.04,SG116,Glycymeris radiolyrata,0.637439167,0.056342426,0.082083598,0.057852486,319.3214851,18.78194332,11,12.76596128,16.72658551
0.9,2.28,SG116,Glycymeris radiolyrata,0.647444426,0.056342426,0.082083598,0.057852486,119.9113283,,4,9.86544697,16.21715423
2.75,1.52,SG107,Arctica islandica,0.707464511,0.056342426,0.082083598,0.057852486,103.8634813,47.72378535,4,-5.856176545,13.63911555
1.58,2.33,SG116,Glycymeris radiolyrata,0.667469519,0.056342426,0.082083598,0.057852486,315.2784506,17.82714327,11,4.315839838,15.27223079
2.16,1.85,SG116,Glycymeris radiolyrata,0.697490669,0.056342426,0.082083598,0.057852486,354.2370248,4.904329131,12,-3.424510677,14.01810755
1.37,2.05,SG116,Glycymeris radiolyrata,0.657495755,0.056342426,0.082083598,0.057852486,72.80433359,29.37411642,3,7.038689043,15.73099879
1.79,1.28,SG107,Arctica islandica,0.657517826,0.056342426,0.082083598,0.057852486,212.8834978,17.54286229,7,7.032575067,15.72995824
1.21,1.22,SG107,Arctica islandica,0.607551939,0.056342426,0.082083598,0.057852486,108.4199276,8.731372824,4,21.99198305,18.41988043
1.44,1.88,SG116,Glycymeris radiolyrata,0.607569725,0.056342426,0.082083598,0.057852486,341.2647197,,12,21.98622426,18.4187883
1.88,2.03,SG116,Glycymeris radiolyrata,0.647588234,0.056342426,0.082083598,0.057852486,313.2022084,28.270634,11,9.824398462,16.21002198
1.51,1.22,SG107,Arctica islandica,0.587607032,0.056342426,0.082083598,0.057852486,153.3373625,8.971791385,6,28.67008476,19.71662762
1.46,2.05,SG116,Glycymeris radiolyrata,0.677620141,0.056342426,0.082083598,0.057852486,220.8481011,10.6826304,8,1.624638173,14.82786256
1.81,1.92,SG116,Glycymeris radiolyrata,0.617632973,0.056342426,0.082083598,0.057852486,46.37938245,12.9640064,2,18.78094985,17.81780033
1.99,1.81,SG116,Glycymeris radiolyrata,0.73764599,0.056342426,0.082083598,0.057852486,46.08433953,29.76163138,2,-12.83240553,12.59062385
1.22,0.37,SG126,Astarte benedeni,0.642076297,0.056342426,0.082083598,0.057852486,150.2693656,17.22117742,5,11.41062417,16.48719753
0.95,0.69,SG126,Astarte benedeni,0.642079317,0.056342426,0.082083598,0.057852486,232.6652509,23.77221702,8,11.40974767,16.48704348
2.49,1.11,SG126,Astarte benedeni,0.672081986,0.056342426,0.082083598,0.057852486,275.8460114,27.81311401,10,3.083189872,15.06758454
1.49,0.64,SG126,Astarte benedeni,0.682084796,0.056342426,0.082083598,0.057852486,238.8724148,21.26358752,8,0.465480886,14.63921494
1.94,0.12,SG126,Astarte benedeni,0.662090015,0.056342426,0.082083598,0.057852486,261.4493311,29.28243472,9,5.774535284,15.51684928
1.92,0.12,SG126,Astarte benedeni,0.712095179,0.056342426,0.082083598,0.057852486,261.4493311,29.28243472,9,-6.963018968,13.46894203
2.8,0.85,SG126,Astarte benedeni,0.662097601,0.056342426,0.082083598,0.057852486,341.5980298,30.39972873,12,5.772462019,15.51649971
0.96,0.67,SG126,Astarte benedeni,0.622104796,0.056342426,0.082083598,0.057852486,232.6652509,23.77221702,8,17.38974394,17.56119696
