season_score,d13C,d13C.lower,d13C.upper,d18O,d18O.lower,d18O.upper,D47,D47.lower,D47.upper,temp,temp.lower,temp.upper,d18Ow,d18Ow.lower,d18Ow.upper,.width,.point,.interval,Specimen,Species,N,method,season
1,1.253718886,1.235638217,1.314918814,2.423948134,2.352938744,2.488642878,0.647560842,0.643846552,0.652232497,9.970791203,8.397660175,11.31500741,0.168953439,-0.194507949,0.47971395,0.68,median,qi,SG105,Pygocardia rustica,43,strict,winter
2,1.257226796,1.01312064,1.337010987,2.239117264,2.161504018,2.340720145,0.637347382,0.63185791,0.644784026,13.08912439,10.77487492,14.63025888,0.710517483,0.150394758,1.095802021,0.68,median,qi,SG105,Pygocardia rustica,37,strict,spring
3,1.044497231,0.961621932,1.297739401,1.630582061,1.38576458,2.102701468,0.661077215,0.645355571,0.672352003,6.261309266,2.811587042,10.35723048,-1.416431544,-2.176861937,-0.517499248,0.68,median,qi,SG105,Pygocardia rustica,9,strict,summer
4,1.163185755,0.779157572,1.354243212,2.290168712,2.121157663,2.48333174,0.610081855,0.594175238,0.61649739,21.42055562,19.15042268,26.9231683,2.770476926,2.212932741,3.911848228,0.68,median,qi,SG105,Pygocardia rustica,6,strict,autumn
1,1.253718886,1.199918451,1.374995003,2.423948134,2.284332793,2.530959737,0.647560842,0.638859217,0.657864988,9.970791203,7.002232866,12.59001808,0.168953439,-0.515780536,0.77104904,0.95,median,qi,SG105,Pygocardia rustica,43,strict,winter
2,1.257226796,0.90326775,1.364740935,2.239117264,1.883904122,2.459573733,0.637347382,0.621082944,0.658300331,13.08912439,6.945639524,17.76059449,0.710517483,-0.773652107,1.798704326,0.95,median,qi,SG105,Pygocardia rustica,37,strict,spring
3,1.044497231,0.882738223,1.495520335,1.630582061,1.288025754,2.508948711,0.661077215,0.624250646,0.681413703,6.261309266,0.451729795,17.29839656,-1.416431544,-2.840391757,1.746608781,0.95,median,qi,SG105,Pygocardia rustica,9,strict,summer
4,1.163185755,0.412368069,1.53199255,2.290168712,1.894199269,2.749796413,0.610081855,0.56384314,0.624578377,21.42055562,16.90938882,36.99667097,2.770476926,1.470424136,6.187670595,0.95,median,qi,SG105,Pygocardia rustica,6,strict,autumn
1,1.342527315,1.306856841,1.362302708,2.619823778,2.598420944,2.670083075,0.634469678,0.627465139,0.638089378,13.91456933,12.52392534,15.80959597,1.2838498,0.969202236,1.703919401,0.68,median,qi,SG107,Arctica islandica,8,strict,winter
2,1.333571591,1.274036523,1.404007233,2.294876377,2.200793118,2.322940463,0.644445231,0.635876528,0.647657036,10.99128369,9.736839688,13.55458846,0.26615324,-0.045014667,0.866252628,0.68,median,qi,SG107,Arctica islandica,28,strict,spring
3,1.209375003,0.924161074,1.223192288,1.462868008,1.382346925,1.509253741,0.608017032,0.603171442,0.616824561,21.97650219,19.22131982,23.77451885,1.968343504,1.350144277,2.389746678,0.68,median,qi,SG107,Arctica islandica,10,strict,summer
4,1.162265129,1.132198586,1.186519538,1.827558959,1.820147042,1.871046452,0.656404702,0.652191709,0.660332415,7.511212297,6.247121015,8.795645294,-0.971692076,-1.221529753,-0.701465211,0.68,median,qi,SG107,Arctica islandica,7,strict,autumn
1,1.342527315,1.282885669,1.373123363,2.619823778,2.515663724,2.746026292,0.634469678,0.618484064,0.684809219,13.91456933,-0.045361757,18.61664008,1.2838498,-1.875795625,2.351733063,0.95,median,qi,SG107,Arctica islandica,8,strict,winter
2,1.333571591,1.203439354,1.421680241,2.294876377,2.156130341,2.408743702,0.644445231,0.622878271,0.660689077,10.99128369,6.210110504,17.30494127,0.26615324,-0.853725691,1.694800911,0.95,median,qi,SG107,Arctica islandica,28,strict,spring
3,1.209375003,0.910372301,1.267561922,1.462868008,1.296761473,1.513983152,0.608017032,0.596685782,0.620332664,21.97650219,17.4789511,26.97609901,1.968343504,0.873100631,3.152146285,0.95,median,qi,SG107,Arctica islandica,10,strict,summer
4,1.162265129,1.081060898,1.284048462,1.827558959,1.55932891,2.167376054,0.656404702,0.650933069,0.662446973,7.511212297,5.054375194,9.684018985,-0.971692076,-1.516829845,-0.473846803,0.95,median,qi,SG107,Arctica islandica,7,strict,autumn
1,1.167132483,1.148593774,1.27089796,0.590951278,0.55650312,1.150474549,0.668910915,0.643955946,0.73447715,NA,NA,NA,NA,-6.600278082,NA,0.68,median,qi,SG113,Ostrea edulis,NA,strict,winter
2,1.075890004,0.925004775,1.138017382,0.865427709,0.755708547,0.888483011,0.649834023,0.608426702,0.658111803,9.511625451,7.063965467,21.89544393,-1.504155732,-2.052661101,1.31799277,0.68,median,qi,SG113,Ostrea edulis,27,strict,spring
3,1.439720499,0.827520096,1.48405094,0.460095825,0.326808541,0.528635709,0.608130928,0.598023949,0.62034348,21.64358293,18.51201574,24.46860574,0.88397865,0.14936785,1.514386931,0.68,median,qi,SG113,Ostrea edulis,13,strict,summer
4,1.349288782,1.286464628,1.356215069,0.579317775,0.554522514,0.623430221,0.642044307,0.633777816,0.654925393,11.55204129,8.021606719,14.02444359,-1.303237078,-2.110924322,-0.739775027,0.68,median,qi,SG113,Ostrea edulis,29,strict,autumn
1,1.167132483,1.115815741,1.275706524,0.590951278,0.535193457,1.256324446,0.668910915,0.595331651,0.823712712,NA,NA,NA,NA,-10.9914571,NA,0.95,median,qi,SG113,Ostrea edulis,NA,strict,winter
2,1.075890004,0.890429477,1.222886336,0.865427709,0.665781443,0.968856011,0.649834023,0.60382037,0.660677668,9.511625451,6.124299994,23.69367291,-1.504155732,-2.279418601,1.74996702,0.95,median,qi,SG113,Ostrea edulis,27,strict,spring
3,1.439720499,0.811126455,2.360302785,0.460095825,0.27845,0.651005587,0.608130928,0.595723969,0.64758055,21.64358293,10.06260775,27.12357292,0.88397865,-1.748308468,2.163056935,0.95,median,qi,SG113,Ostrea edulis,13,strict,summer
4,1.349288782,1.248589201,1.389966628,0.579317775,0.51847603,0.667490673,0.642044307,0.623926841,0.665243224,11.55204129,4.966609066,16.95073471,-1.303237078,-2.809277934,-0.048529465,0.95,median,qi,SG113,Ostrea edulis,29,strict,autumn
1,1.544376292,1.50838404,1.555220783,0.299095638,0.216315838,0.463990859,0.616441418,0.607257627,0.618004214,19.31107281,18.67574528,22.42443274,0.222517401,0.030326981,0.963366131,0.68,median,qi,SG115,Pecten complanatus,30,strict,winter
