season_score,d13C,d13C.lower,d13C.upper,d18O,d18O.lower,d18O.upper,D47,D47.lower,D47.upper,temp,temp.lower,temp.upper,d18Ow,d18Ow.lower,d18Ow.upper,.width,.point,.interval,Specimen,Species,N,method,season,season2
4,1.163185755,0.779157572,1.354243212,2.290168712,2.121157663,2.48333174,0.610081855,0.594175238,0.61649739,21.42,19.15042268,26.9231683,2.770476926,2.212932741,3.911848228,0.68,median,qi,SG105,Pygocardia rustica,6,strict,autumn,summer
2,1.257226796,1.01312064,1.337010987,2.239117264,2.161504018,2.340720145,0.637347382,0.63185791,0.644784026,13.09,10.77487492,14.63025888,0.710517483,0.150394758,1.095802021,0.68,median,qi,SG105,Pygocardia rustica,37,strict,spring,spring
3,1.044497231,0.961621932,1.297739401,1.630582061,1.38576458,2.102701468,0.661077215,0.645355571,0.672352003,6.26,2.811587042,10.35723048,-1.416431544,-2.176861937,-0.517499248,0.68,median,qi,SG105,Pygocardia rustica,9,strict,summer,winter
1,1.253718886,1.235638217,1.314918814,2.423948134,2.352938744,2.488642878,0.647560842,0.643846552,0.652232497,9.97,8.397660175,11.31500741,0.168953439,-0.194507949,0.47971395,0.68,median,qi,SG105,Pygocardia rustica,43,strict,winter,autumn
4,1.162265129,1.132198586,1.186519538,1.827558959,1.820147042,1.871046452,0.656404702,0.652191709,0.660332415,7.51,6.247121015,8.795645294,-0.971692076,-1.221529753,-0.701465211,0.68,median,qi,SG107,Arctica islandica,7,strict,autumn,winter
2,1.333571591,1.274036523,1.404007233,2.294876377,2.200793118,2.322940463,0.644445231,0.635876528,0.647657036,10.99,9.736839688,13.55458846,0.26615324,-0.045014667,0.866252628,0.68,median,qi,SG107,Arctica islandica,28,strict,spring,spring
3,1.209375003,0.924161074,1.223192288,1.462868008,1.382346925,1.509253741,0.608017032,0.603171442,0.616824561,21.98,19.22131982,23.77451885,1.968343504,1.350144277,2.389746678,0.68,median,qi,SG107,Arctica islandica,10,strict,summer,summer
1,1.342527315,1.306856841,1.362302708,2.619823778,2.598420944,2.670083075,0.634469678,0.627465139,0.638089378,13.91,12.52392534,15.80959597,1.2838498,0.969202236,1.703919401,0.68,median,qi,SG107,Arctica islandica,8,strict,winter,autumn
4,1.349288782,1.286464628,1.356215069,0.579317775,0.554522514,0.623430221,0.642044307,0.633777816,0.654925393,11.55,8.021606719,14.02444359,-1.303237078,-2.110924322,-0.739775027,0.68,median,qi,SG113,Ostrea edulis,29,strict,autumn,autumn
2,1.075890004,0.925004775,1.138017382,0.865427709,0.755708547,0.888483011,0.649834023,0.608426702,0.658111803,9.51,7.063965467,21.89544393,-1.504155732,-2.052661101,1.31799277,0.68,median,qi,SG113,Ostrea edulis,27,strict,spring,spring
