Date,Sample_name,Run,ID,Row,Int,par49,d47,d47_SE,D47_Raw,D47_SD,D47_final,Final_d18O,Final_d13C,OUTLIER,Specimen,Species,Sample_nr,Datetime,Sample_or_Standard,Sample_or_Standard2,D47_offset_corr_strict,D47_offset_N_strict,D47_accepted,D47_corrETF_strict,D47_acc,Instrument,D47_sd_ext,d18O_sd_ext,d13C_sd_ext,mineral,temp_strict,d18Ow_strict,Sample_nr2,Dist,ShellChron_Age,ShellChron_DOY,ShellChron_DOY_err,month_score,month,Day_offset,ShellChron_DOY_rotated,Rotated month
44672.55972,Pygocardia A2,234,BG,5,18203.792,0.000541427,18.43919802,0.019680173,-0.229883662,0.117771893,0.6237,2.239117264,-0.397061707,FALSE,SG105,Pygocardia rustica,2,44672.55972,Sample,Sample,0.630410712,40,NA,0.621082944,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,17.70589374,3.123629307,2,61.7160274,2579.385569,24.38556935,NA,1,January,1,25.38556935,1
44672.58681,Pygocardia B2,234,BG,6,12319.29,0.00167851,20.81545635,0.021431987,-0.132870218,0.118326742,0.72053,2.53568413,1.596918861,FALSE,SG105,Pygocardia rustica,14,44672.58681,Sample,Sample,NA,no_STD,NA,NA,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,NA,NA,14,53.86835616,2302.576585,112.5765847,NA,4,April,1,113.5765847,4
44672.61111,Pygocardia C2,234,BG,7,16184.643,0.00124291,18.65599705,0.021980194,-0.182812526,0.106945768,0.66904,1.630582061,0.406793036,FALSE,SG105,Pygocardia rustica,26,44672.61111,Sample,Sample,0.659953871,44,NA,0.648611215,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,9.532912949,0.719408711,26,46.02068493,2013.710966,188.7109656,14.72713989,7,July,1,189.7109656,7
44672.63681,Pygocardia D4,234,BG,8,14692.564,0.002181468,20.60561867,0.022455992,-0.218825194,0.109317799,0.63323,2.609396085,1.395280781,FALSE,SG105,Pygocardia rustica,40,44672.63681,Sample,Sample,0.629213992,24,NA,0.619720778,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,18.12894168,3.584585876,40,36.86506849,1683.999572,223.9995716,61.13478551,8,August,1,224.9995716,8
44672.71875,Pygocardia E2,234,BG,11,18796.676,0.002002289,21.14504497,0.021171602,-0.202599124,0.10846667,0.64937,2.990933988,1.510061673,FALSE,SG105,Pygocardia rustica,50,44672.71875,Sample,Sample,0.65936011,29,NA,0.647678918,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,9.798522693,2.138522621,50,30.32534247,1129.434597,34.43459651,70.62096487,2,February,1,35.43459651,2
44672.74306,Pygocardia F2,234,BG,12,15965.9,0.000240344,20.92439417,0.023233629,-0.171838392,0.109488914,0.68024,2.983043698,1.262394831,FALSE,SG105,Pygocardia rustica,62,44672.74306,Sample,Sample,0.672197729,46,NA,0.659456668,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,6.497026686,1.377023474,62,22.47767123,698.511093,333.511093,13.62429688,11,November,1,334.511093,11
44672.76875,Pygocardia A8,234,BG,13,15761.532,0.001348737,19.35046126,0.023232932,-0.190728666,0.09533902,0.6615,2.379344755,0.321926456,FALSE,SG105,Pygocardia rustica,8,44672.76875,Sample,Sample,0.655463053,40,NA,0.643846552,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,10.8982755,1.774573018,8,57.79219178,2522.17214,332.1721402,23.49676562,11,November,1,333.1721402,11
44672.82431,Pygocardia C8,234,BG,15,17083.185,0.002452163,20.99914041,0.025262558,-0.19960789,0.132687301,0.65266,2.469427105,1.871620258,FALSE,SG105,Pygocardia rustica,32,44672.82431,Sample,Sample,0.648636796,49,NA,0.637347382,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,12.79298391,2.286071221,32,42.09684932,1875.805141,50.80514073,NA,2,February,1,51.80514073,2
44672.85278,Pygocardia D8,234,BG,16,18318.976,0.002073128,21.03227403,0.02585846,-0.194110046,0.111571879,0.65813,2.85885651,1.481149871,FALSE,SG105,Pygocardia rustica,44,44672.85278,Sample,Sample,0.667170607,38,NA,0.654673994,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,7.823696337,1.557889635,44,34.24917808,1448.94302,353.9430202,25.73451097,12,December,1,354.9430202,12
44672.87847,Pygocardia E8,234,BG,17,18249.408,0.002079112,21.07109583,0.023932466,-0.170111696,0.116727339,0.6816,3.046921763,1.293076175,FALSE,SG105,Pygocardia rustica,56,44672.87847,Sample,Sample,0.690625909,38,NA,0.676440639,NA,PACMAN,0.049933999,0.092848257,0.141236548,aragonite,1.933340301,0.370192311,56,26.40150685,723.1729405,358.1729405,49.77223388,12,December,1,359.1729405,12
