season_score,d13C,d13C.lower,d13C.upper,d13C_sd,d18O,d18O.lower,d18O.upper,d18O_sd,D47,D47.lower,D47.upper,D47_sd,T_mean,temp.lower,temp.upper,T_sd,d18Ow,d18Ow.lower,d18Ow.upper,d18Ow_sd,Specimen,Species,N,method,season2,season
4,1.163185755,0.779157572,1.354243212,0.287845755,2.290168712,2.121157663,2.48333174,0.181277819,0.610081855,0.594175238,0.61649739,0.011172835,21.42,19.15042268,26.9231683,3.890467215,2.770476926,2.212932741,3.911848228,0.850352672,SG105,Pygocardia rustica,6,strict,summer,2
2,1.257226796,1.01312064,1.337010987,0.486170022,2.239117264,2.161504018,2.340720145,0.269009278,0.637347382,0.63185791,0.644784026,0.019402524,13.09,10.77487492,14.63025888,5.787057626,0.710517483,0.150394758,1.095802021,1.419087273,SG105,Pygocardia rustica,37,strict,spring,1
3,1.044497231,0.961621932,1.297739401,0.222874083,1.630582061,1.38576458,2.102701468,0.47538931,0.661077215,0.645355571,0.672352003,0.017900899,6.26,2.811587042,10.35723048,5.003394699,-1.416431544,-2.176861937,-0.517499248,1.100296688,SG105,Pygocardia rustica,9,strict,winter,0
1,1.253718886,1.235638217,1.314918814,0.128893651,2.423948134,2.352938744,2.488642878,0.220626508,0.647560842,0.643846552,0.652232497,0.013633791,9.97,8.397660175,11.31500741,4.742995772,0.168953439,-0.194507949,0.47971395,1.09614364,SG105,Pygocardia rustica,43,strict,autumn,3
4,1.162265129,1.132198586,1.186519538,0.030389549,1.827558959,1.820147042,1.871046452,0.028475387,0.656404702,0.652191709,0.660332415,0.004554272,7.51,6.247121015,8.795645294,1.425757485,-0.971692076,-1.221529753,-0.701465211,0.290947165,SG107,Arctica islandica,7,strict,winter,0
2,1.333571591,1.274036523,1.404007233,0.167871987,2.294876377,2.200793118,2.322940463,0.157767219,0.644445231,0.635876528,0.647657036,0.015215869,10.99,9.736839688,13.55458846,4.931057705,0.26615324,-0.045014667,0.866252628,1.177005582,SG107,Arctica islandica,28,strict,spring,1
3,1.209375003,0.924161074,1.223192288,0.212199461,1.462868008,1.382346925,1.509253741,0.09005601,0.608017032,0.603171442,0.616824561,0.009688569,21.98,19.22131982,23.77451885,3.231055273,1.968343504,1.350144277,2.389746678,0.737725893,SG107,Arctica islandica,10,strict,summer,2
1,1.342527315,1.306856841,1.362302708,0.034003537,2.619823778,2.598420944,2.670083075,0.043948558,0.634469678,0.627465139,0.638089378,0.006515575,13.91,12.52392534,15.80959597,2.015018055,1.2838498,0.969202236,1.703919401,0.450583311,SG107,Arctica islandica,8,strict,autumn,3
4,1.349288782,1.286464628,1.356215069,0.091827737,0.579317775,0.554522514,0.623430221,0.090718262,0.642044307,0.633777816,0.654925393,0.027841174,11.55,8.021606719,14.02444359,7.902845039,-1.303237078,-2.110924322,-0.739775027,1.805143241,SG113,Ostrea edulis,29,strict,autumn,3
2,1.075890004,0.925004775,1.138017382,0.269721589,0.865427709,0.755708547,0.888483011,0.168122159,0.649834023,0.608426702,0.658111803,0.062912447,9.51,7.063965467,21.89544393,18.77996797,-1.504155732,-2.052661101,1.31799277,4.268001459,SG113,Ostrea edulis,27,strict,spring,1
