modelname,ja,fb,mr,ar,my,jn,jl,ag,sp,ot,nv,dc
CCSM4,8.39,8.81,9.63,12.05,15.15,19.61,22.81,22.96,19.02,14.7,11.03,9.13
CCSM4-UoT,6.97,7.58,9.96,12.54,16.46,21.92,25.43,24.72,19.69,14.32,9.94,7.02
CCSM4-Utr,9.43,9.5,10.88,13.14,16.81,21.09,25.02,24.99,21.79,17.26,12.84,10.15
CESM1.2,9.32,9.84,10.56,13.06,16.71,20.91,23.83,23.44,20.11,15.96,12.77,10.38
CESM2,10.7,10.44,11.75,13.85,17.69,22.31,25.02,25.18,21.79,17.65,13.99,12.05
COSMOS,5.76,5.15,6.8,9.35,12.59,15.93,18.34,17.94,15.54,12.2,8.91,7.43
EC-Earth3.3,7.14,6.78,7.67,11.21,15.82,21.4,25.29,25.23,22.09,17.07,12.42,9.21
GISS2.1G,3.59,3.25,4.9,8.52,12.19,15.79,18.26,18.25,15.67,11.31,7.14,4.87
HadCM3,7.13,7.08,8.46,11.38,15.27,20.31,24.28,24.55,20.13,15.21,11.06,8.04
HadGEM3,7.95,7.86,8.92,11.42,15.13,19.28,22.57,22.98,21.1,17.55,13.47,10.16
IPSLCM6A,6.38,6.47,7.63,10.5,14.22,18.86,22.12,22.63,19.56,15.54,11.59,8.5
IPSLCM5A2,4.75,4.88,6.06,9.43,13.07,19.14,22.52,21.49,17.22,12.01,8.27,6.01
IPSLCM5A,3.78,3.48,5.17,8.11,12.73,19.64,22.32,20.96,15.89,10.78,7.32,4.78
MIROC4m,5.79,5.99,7.33,10.39,15.31,20.6,23.9,21.58,16.98,12.41,8.61,6.71
MRI2.3,6.17,6.48,7.42,8.81,11.12,14.74,16.85,16.36,14,10.59,7.74,6.51
NorESM-L,2.73,2.33,4.59,7.78,11.92,16.68,18.39,17.3,13.61,10.25,7.06,4.39
NorESM1-F,8.16,7.86,9.06,12.07,15.76,19.54,21.88,21.35,19.13,15.44,11.27,9.18
