modelname,ja,fb,mr,ar,my,jn,jl,ag,sp,ot,nv,dc
CCSM4-UoT,8.33,7.14,7.45,9.67,13.33,18.4,22.5,24.35,22.6,18.74,14.83,10.86
CCSM4-Utr,9.96,8.75,8.95,11.03,14.62,19.37,23.5,25.29,23.95,20.76,16.37,12.48
COSMOS,7.91,6.68,6.38,7.34,9.53,12.23,14.95,15.94,14.94,13.34,11.49,9.58
EC-Earth3.3,9.18,7.62,7.41,9.32,13.58,19.22,24.06,25.27,23.56,20.26,16.05,12.13
GISS2.1G,4.87,3.58,3.88,6.75,11.21,15.56,18.68,19.39,17.68,14.47,10.53,7.18
HadCM3,9.12,8.54,8.62,10.04,13.39,18.25,22.7,24.82,22.94,17.92,13.31,10.47
HadGEM3,11.73,10.06,9.73,10.95,13.64,17.51,21.33,23.07,22.48,20.37,17.46,14.46
IPSLCM6A,9.11,8.1,8.4,10.26,13.42,18.11,22.23,23.38,20.71,17.41,14.24,11.37
MIROC4m,8.62,7.85,8.03,9.83,13.99,19.31,23.36,22.75,19.5,15.83,12.65,10.24
MRI2.3,9.47,9.28,9.18,9.41,10.73,13.6,16.28,16.71,14.69,12.12,10.56,9.78
NorESM1-F,9.59,8.66,8.78,11.1,15.26,19.61,22.51,22.65,21.2,18.56,14.66,11.55
