"month_score","d13C","d13C.lower","d13C.upper","d18O","d18O.lower","d18O.upper","D47","D47.lower","D47.upper","temp","temp.lower","temp.upper","d18Ow","d18Ow.lower","d18Ow.upper",".width",".point",".interval","Specimen","Species","N","method","month"
1,0.025826655,-0.13541753,0.827838092,2.239117264,2.161504018,2.288759815,0.618703807,0.613121366,0.624217358,18.6224445090565,16.9088556617645,20.6747475804827,1.96746015916096,1.55924566722929,2.48848710237126,0.68,"median","qi","SG105","Pygocardia rustica",17,"strict","January"
2,1.364740935,1.337010987,1.451733578,2.485840429,2.411176835,2.791968908,0.640105255,0.637347382,0.658300331,12.1424528660553,6.92342237747164,13.184858724517,0.742171625011886,-0.452298486918634,1.12883205808592,0.68,"median","qi","SG105","Pygocardia rustica",17,"strict","February"
3,1.08055237,1.01312064,1.312142076,1.750626973,1.72138825,1.783792066,0.680619557,0.63396177,0.692363082,1.01394234007469,-2.52608687877131,14.1963045889824,-2.55864445204171,-3.37334534993916,0.460880749725288,0.68,"median","qi","SG105","Pygocardia rustica",7,"strict","March"
4,1.495520335,1.024078963,1.596918861,1.758244822,1.623931833,2.508948711,0.6660309865,0.661077215,0.672352003,4.77050789407144,2.65023010289644,6.67828631596642,-1.46782846839401,-2.04693527978692,-1.14285510158575,0.68,"median","qi","SG105","Pygocardia rustica",4,"strict","April"
5,1.294469791,1.044497231,1.297739401,1.288025754,1.190072966,1.38576458,0.683408502,0.642099927,0.724717077,0.284044954714176,-9.92727438231081,11.6388186498735,-3.19306987855434,-5.61609509297025,-0.502862403471568,0.68,"median","qi","SG105","Pygocardia rustica",2,"strict","May"
6,0.961621932,0.961621932,0.961621932,2.655242828,2.655242828,2.655242828,0.605655581,0.605655581,0.605655581,22.7568170171606,22.3026502232908,23.2608063443297,3.35220527435037,3.24755854765226,3.4683318474308,0.68,"median","qi","SG105","Pygocardia rustica",1,"strict","June"
7,0.6587518545,0.420779261,1.2757212705,1.8249136785,1.3932867765,2.060973382,0.6390235955,0.617918671,0.663905915,12.4261352328289,6.10078721007441,18.3125985089458,0.133831031386948,-1.13084883093739,1.12615066319699,0.68,"median","qi","SG105","Pygocardia rustica",4,"strict","July"
8,0.545149278,0.279586859,1.395280781,2.223070029,1.769153242,2.609396085,0.581460768,0.546225513,0.619720778,30.9546625938249,18.388698631358,43.7907663631776,4.56320643506027,2.29987964061244,7.76656458272755,0.68,"median","qi","SG105","Pygocardia rustica",3,"strict","August"
9,1.1631857545,1.013165866,1.313205643,2.623732067,2.357267394,2.89019674,0.6100818545,0.606889708,0.613274001,21.3257331307208,20.4365194282666,22.2546175795135,2.99034233683541,2.5252476167316,3.45786806230948,0.68,"median","qi","SG105","Pygocardia rustica",2,"strict","September"
10,1.236983495,1.068169937,1.5193919705,2.2430692065,2.2033844875,2.3461411475,0.6490793965,0.640810406,0.6674513145,9.49952613026187,4.23864528850099,12.0046725968183,-0.0773866569673897,-1.25490391013347,0.408776745006887,0.68,"median","qi","SG105","Pygocardia rustica",6,"strict","October"
11,1.220200007,1.063874501,1.2474035825,2.4081503075,2.267474653,2.527724244,0.649716385,0.643846552,0.657864988,9.37678376451692,7.53734088272056,10.8098988294318,0.032090015759998,-0.379659452200046,0.327217641583512,0.68,"median","qi","SG105","Pygocardia rustica",13,"strict","November"
12,1.328799211,1.269022405,1.481149871,2.513971383,2.348319466,2.575470181,0.654673994,0.644607026,0.660335978,7.77016638244638,6.1823741834962,10.9893123322655,-0.278686649229064,-0.672698381315448,0.503077178202063,0.68,"median","qi","SG105","Pygocardia rustica",19,"strict","December"
1,0.025826655,-0.230091284,1.362416118,2.239117264,1.991495545,2.448509957,0.618703807,0.606186198,0.6354051,18.6224445090565,13.6219049524327,22.6248988595356,1.96746015916096,0.753206578580766,3.01065381850332,0.95,"median","qi","SG105","Pygocardia rustica",17,"strict","January"
